dataset,n_methods,spearman_r,spearman_p,kendall_tau,kendall_p,actual_best,predicted_best,top1_hit,top3_jaccard,regret,norm_regret,clique_hit,actual_top3,predicted_top3
cifar10,22,-0.04121964991530209,0.8554817672242458,-0.047619047619047616,0.7805448221723992,Energy,GEN,False,0.0,3.618484763837074,0.019924013427276427,False,Energy|GE|NNGuide,GEN|REN|CTM
cifar100,22,0.2659514398644834,0.23157881527331264,0.1774891774891775,0.26275316600189397,CTMmeanOC,CTMmeanOC,True,0.5,0.0,0.0,False,CTMmeanOC|CTMmean|fDBD,CTMmeanOC|KPCA RecError global|CTMmean
supercifar100,22,-0.005081874647092039,0.9820931607488159,0.021645021645021644,0.9112884689584274,CTM,GradNorm,False,0.2,6.6175820848570766,0.02461130367101427,False,CTM|ViM|pNML,GradNorm|Confidence|CTM
tinyimagenet,22,0.014116318464144554,0.9502846499817856,0.0303030303030303,0.8672669832921104,CTM,Energy,False,0.2,7.176536295975666,0.03770982795954855,False,CTM|CTMmean|CTMmeanOC,Energy|CTM|GradNorm
