feature,mean_importance,rank
max_equiangular_wc,0.2850636271335835,1
equiangular_uc,0.16036797941401618,2
var_collapse,0.13499276361437404,3
self_duality,0.09982365668296453,4
equinorm_uc,0.09894606174629018,5
max_equiangular_uc,0.08981505370001405,6
equinorm_wc,0.059229672280070256,7
equiangular_wc,0.05441081073151823,8
dropout,0.017350374697169015,9
