dataset,n_methods,spearman_r,spearman_p,kendall_tau,kendall_p,actual_best,predicted_best,top1_hit,top3_jaccard,regret,norm_regret,clique_hit,actual_top3,predicted_top3
cifar10,22,0.259175607001694,0.24413318656609348,0.1515151515151515,0.34184283041857333,Energy,CTM,False,0.0,2.7933889337087123,0.015493527913675842,False,Energy|NNGuide|MLS,CTM|GEN|REN
cifar100,22,0.4217955957086392,0.050552399939215745,0.2987012987012987,0.05442008959458163,Energy,NNGuide,False,0.5,1.1532658178111888,0.005033801758539186,False,Energy|NeCo|MLS,NNGuide|NeCo|MLS
supercifar100,22,0.1609260304912479,0.47434088716881473,0.1341991341991342,0.4020304086977944,CTM,GradNorm,False,0.2,9.455218164888436,0.035286100474803114,False,CTM|KPCA RecError global|Energy,GradNorm|Energy|CTMmean
tinyimagenet,22,-0.1507622811970638,0.5030459858018412,-0.10822510822510822,0.5030535233842987,CTMmean,Energy,False,0.0,8.36269440838177,0.04399254961189093,False,CTMmean|CTMmeanOC|CTM,Energy|GradNorm|pNML
