feature,mean_importance,rank
equiangular_uc,0.2925458586274294,1
max_equiangular_uc,0.20551721751424123,2
var_collapse,0.13278729775118128,3
self_duality,0.08868449732409692,4
equinorm_uc,0.07573165043833253,5
max_equiangular_wc,0.07447087711859814,6
equinorm_wc,0.06472668678178345,7
equiangular_wc,0.05342956833550778,8
dropout,0.012106346108829269,9
