feature,mean_importance,rank
var_collapse,0.6141150270025975,1
self_duality,0.1305229453552776,2
equiangular_uc,0.06600078442200143,3
equinorm_uc,0.05949820073925292,4
equiangular_wc,0.03286842462530815,5
max_equiangular_wc,0.0315532553575777,6
max_equiangular_uc,0.02764934499451812,7
equinorm_wc,0.025667588387805963,8
dropout,0.012124429115660678,9
