feature,mean_importance,rank
self_duality,0.38946730128791623,1
equiangular_wc,0.13491827537355375,2
max_equiangular_wc,0.13398442372447303,3
equinorm_wc,0.08572059833872402,4
equinorm_uc,0.07605383123027785,5
var_collapse,0.06856255896317309,6
equiangular_uc,0.0654113335647117,7
max_equiangular_uc,0.03475428587692189,8
dropout,0.011127391640248476,9
