feature,mean_importance,rank
var_collapse,0.6155149243866327,1
self_duality,0.12866295395860294,2
equiangular_uc,0.06574686470442287,3
equinorm_uc,0.05969549696415465,4
equiangular_wc,0.034091570731656,5
max_equiangular_wc,0.03160528660879089,6
max_equiangular_uc,0.026920186673685165,7
equinorm_wc,0.02621892569840386,8
dropout,0.01154379027365099,9
