feature,mean_importance,rank
self_duality,0.3342755011474242,1
equiangular_wc,0.19318621801267113,2
max_equiangular_wc,0.13338730185994854,3
equinorm_wc,0.11601052301932721,4
var_collapse,0.09956899883803921,5
equiangular_uc,0.04801743388816482,6
equinorm_uc,0.042327332986134496,7
max_equiangular_uc,0.029800906231205918,8
dropout,0.003425784017084474,9
