feature,mean_importance,rank
equiangular_uc,0.3604393687221416,1
max_equiangular_uc,0.2403256376454493,2
equiangular_wc,0.09794647048199547,3
max_equiangular_wc,0.07874061926520386,4
self_duality,0.057033409759470605,5
var_collapse,0.0548845964988558,6
dropout,0.04272696589190648,7
equinorm_uc,0.038513208295396624,8
equinorm_wc,0.02938972343958021,9
