group,target,n_folds,mean_spearman,mean_kendall,top1_accuracy,mean_top3_jaccard,mean_regret,mean_norm_regret,clique_hit_rate
near,augrc,4,0.5000000000000001,0.3658008658008658,0.25,0.22499999999999998,1.3587758073787128,0.007255467548876573,0.5
mid,augrc,4,0.31592320722755507,0.22943722943722944,0.0,0.1,4.352129326053607,0.01806169540011745,0.25
far,augrc,4,0.31902879728966693,0.2294372294372294,0.5,0.3,3.6762703540137025,0.020811619870792247,0.5
all,augrc,4,0.2899491812535291,0.2077922077922078,0.0,0.15000000000000002,4.109250722627536,0.018685629555242646,0.0
near,pct_rank,4,0.46010999131339675,0.3436807453054024,0.0,0.275,2.159684149897238,0.009936275164287831,0.25
mid,pct_rank,4,0.4457485873666753,0.30897357783117335,0.0,0.22499999999999998,2.097799746233015,0.009166673918140699,0.0
far,pct_rank,4,0.5310210875418487,0.39026034271196,0.0,0.35,0.3065978028235463,0.0016234513105035948,0.25
all,pct_rank,4,0.5069609979976957,0.3649655059472129,0.25,0.27499999999999997,0.9230621259517164,0.003714724347352632,0.5
