dataset,n_methods,spearman_r,spearman_p,kendall_tau,kendall_p,actual_best,predicted_best,top1_hit,top3_jaccard,regret,norm_regret,clique_hit,actual_top3,predicted_top3
cifar10,22,0.18464144551101075,0.4107351195615062,0.11688311688311688,0.4680001686472355,NNGuide,CTM,False,0.0,2.861798031612423,0.02300141426116232,False,NNGuide|Energy|NeCo,CTM|CTMmeanOC|fDBD
cifar100,22,0.36938719349296795,0.09066750307662352,0.24295068005271442,0.11417278452567838,CTMmeanOC,CTM,False,0.2,-0.7228580678372225,-0.004081713329431259,False,CTMmeanOC|fDBD|CTMmean,CTM|fDBD|NNGuide
supercifar100,22,0.320904006017433,0.14535072799862636,0.20434975756827328,0.1847212306181869,fDBD,Energy,False,0.0,10.248747864658895,0.046469151245960405,False,fDBD|pNML|CTM,Energy|CTMmeanOC|CTMmean
tinyimagenet,22,0.5569048513517835,0.0070984598014726605,0.43384050009413294,0.004788693590031608,CTM,Energy,False,0.5,14.718016303700836,0.042435949006586926,False,CTM|CTMmean|CTMmeanOC,Energy|CTMmeanOC|CTMmean
