dataset,n_methods,spearman_r,spearman_p,kendall_tau,kendall_p,actual_best,predicted_best,top1_hit,top3_jaccard,regret,norm_regret,clique_hit,actual_top3,predicted_top3
cifar10,22,0.08865047995482779,0.6948291640624967,0.08225108225108224,0.6157664135385533,Energy,CTM,False,0.0,2.0249177979828232,0.011149553481429925,False,Energy|PE|NNGuide,CTM|KPCA RecError global|REN
cifar100,22,0.6679841897233203,0.0006804473875260295,0.4805194805194805,0.0013759591555648288,fDBD,CTM,False,0.2,2.760347647331116,0.011910715532839577,False,fDBD|NNGuide|CTMmean,CTM|fDBD|CTMmeanOC
supercifar100,22,0.2433653303218521,0.2751116816694032,0.16883116883116883,0.2876167582552455,CTM,CTMmean,False,0.2,4.737372946782216,0.017618659308042864,False,CTM|Energy|KPCA RecError global,CTMmean|Energy|Confidence
tinyimagenet,22,0.7481648785996614,6.230994228167982e-05,0.5497835497835497,0.00019663282712487727,CTM,CTMmeanOC,False,0.2,0.30054725382927927,0.0015792556141564203,False,CTM|CTMmean|CTMmeanOC,CTMmeanOC|PCE|fDBD
