group,target,n_folds,mean_spearman,mean_kendall,top1_accuracy,mean_top3_jaccard,mean_regret,mean_norm_regret,clique_hit_rate
near,augrc,4,0.3856578204404292,0.30519480519480524,0.25,0.05,4.261372093805875,0.021140110570351346,0.0
mid,augrc,4,0.058441558441558454,0.045454545454545456,0.25,0.22499999999999998,4.353150786167454,0.020561286264459813,0.0
far,augrc,4,0.17221908526256355,0.10822510822510822,0.0,0.2,5.632956308618564,0.021852776267457352,0.0
all,augrc,4,0.2905138339920949,0.22294372294372297,0.0,0.1,16.398304431969684,0.0774415830586127,0.0
near,pct_rank,4,0.6222473178994918,0.4588744588744589,0.0,0.27499999999999997,3.4583136714583773,0.01940143824469371,0.0
mid,pct_rank,4,0.43252399774138917,0.316017316017316,0.0,0.15000000000000002,2.4557964114813586,0.010564545984117197,0.0
far,pct_rank,4,0.4875776397515528,0.3441558441558441,0.5,0.225,1.29100932407691,0.006995515433882709,0.0
all,pct_rank,4,0.4760022586109543,0.35497835497835495,0.0,0.27499999999999997,2.3208891857200413,0.011743726600700881,0.0
