feature,mean_importance,rank
self_duality,0.23493545925370327,1
max_equiangular_wc,0.17947995765071276,2
var_collapse,0.13005783029658619,3
equinorm_wc,0.12208977442732465,4
equiangular_wc,0.09336087223699395,5
equinorm_uc,0.08302212692126563,6
equiangular_uc,0.07754870695909989,7
max_equiangular_uc,0.05324100923849266,8
dropout,0.026264263015821077,9
