nc_metric,bin,ood_set,clip_fid,n_models,n_methods_input,n_methods_used,n_blocks_used,friedman_stat,friedman_p,significant,top_clique,top_clique_size
var_collapse,low,cifar100,0.19080717366812822,10,22,22,5,101.71778656126486,1.4319737786208114e-12,True,"CTM, CTMmeanOC",2
var_collapse,low,cifar10,0.2171741844853313,18,22,22,7,113.69000564652742,1.0125966273174066e-14,True,"CTM, CTMmean, CTMmeanOC, NNGuide, PCE, REN, fDBD",7
var_collapse,low,tinyimagenet,0.25916467614357813,8,22,22,2,27.13043478260869,0.16657738196899058,False,,0
var_collapse,low,isun,0.40957509267432773,18,22,22,7,110.66798418972337,3.5709164980244587e-14,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
var_collapse,low,lsun resize,0.44339047660145725,18,22,22,7,109.50931677018639,5.779152562682752e-14,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
var_collapse,low,lsun cropped,0.452894850417105,18,22,22,7,104.35968379446649,4.84910048843406e-13,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, fDBD",6
var_collapse,low,places365,0.5321273594354652,18,22,22,7,121.07566346696785,4.532044877144034e-16,True,"CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD",6
var_collapse,low,textures,0.5468303877588535,18,22,22,7,122.43760587238853,2.54591080780845e-16,True,"CTMmean, CTMmeanOC, fDBD",3
var_collapse,low,svhn,0.6846676149471842,18,22,22,7,108.60813099943539,8.398097543888119e-14,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
var_collapse,mid,cifar100,0.19080717366812822,15,22,22,3,53.43478260869563,0.00011912146545355774,True,"CTM, Energy, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, ViM",9
var_collapse,mid,cifar10,0.2171741844853313,12,22,22,3,61.02371541501975,8.92834818818752e-06,True,"GEN, MSR, PCE, PE",4
var_collapse,mid,tinyimagenet,0.25916467614357813,27,22,22,6,68.48221343873513,6.14059705537341e-07,True,"CTM, Confidence, GE, NNGuide, PE, fDBD",6
var_collapse,mid,isun,0.40957509267432773,27,22,22,6,62.73517786561263,4.881035103738641e-06,True,"CTM, Confidence, Energy, GE, NNGuide, PE, ViM, fDBD",8
var_collapse,mid,lsun resize,0.44339047660145725,27,22,22,6,64.17391304347825,2.9233494955524973e-06,True,"CTM, Confidence, GE, NNGuide, PE, ViM, fDBD",7
var_collapse,mid,lsun cropped,0.452894850417105,27,22,22,6,64.62450592885375,2.487501392812064e-06,True,"Confidence, KPCA RecError global, PE",3
