nc_metric,ood_set,clip_fid,low,mid,high
var_collapse,cifar100,0.19080717366812822,"CTM, CTMmeanOC","CTM, Energy, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, ViM","CTM, Energy, MLS, NNGuide, NeCo, PE, REN"
var_collapse,cifar10,0.2171741844853313,"CTM, CTMmean, CTMmeanOC, NNGuide, PCE, REN, fDBD","GEN, MSR, PCE, PE","Confidence, GradNorm, NNGuide"
var_collapse,tinyimagenet,0.25916467614357813,,"CTM, Confidence, GE, NNGuide, PE, fDBD","CTM, Energy, GE, MLS, NNGuide, NeCo, PE"
var_collapse,isun,0.40957509267432773,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, Confidence, Energy, GE, NNGuide, PE, ViM, fDBD","CTM, Energy, GE, MLS, NNGuide, NeCo, PE, pNML"
var_collapse,lsun resize,0.44339047660145725,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, Confidence, GE, NNGuide, PE, ViM, fDBD","CTM, Energy, GE, MLS, NNGuide, NeCo, PE"
var_collapse,lsun cropped,0.452894850417105,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, fDBD","Confidence, KPCA RecError global, PE","Energy, GE, Maha, PE, Residual"
var_collapse,places365,0.5321273594354652,"CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD","CTM, CTMmean, CTMmeanOC, Energy, GEN, KPCA RecError global, MLS, MSR, Maha, NNGuide, NeCo, PCE, PE, REN, ViM, fDBD","Maha, Residual, ViM"
var_collapse,textures,0.5468303877588535,"CTMmean, CTMmeanOC, fDBD","CTM, CTMmean, CTMmeanOC, Confidence, KPCA RecError global, NNGuide, ViM","CTM, Maha, ViM"
var_collapse,svhn,0.6846676149471842,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTMmean, CTMmeanOC, Confidence, PE, REN","CTM, CTMmean, CTMmeanOC, Confidence, GEN, KPCA RecError global, Maha, REN, Residual, ViM, fDBD, pNML"
cdnv_score,cifar100,0.19080717366812822,"CTM, Energy, MLS, NNGuide, NeCo, REN","CTM, CTMmeanOC, NNGuide, fDBD","CTM, CTMmean, CTMmeanOC"
cdnv_score,cifar10,0.2171741844853313,"Confidence, GradNorm, NNGuide","CTM, CTMmeanOC, Confidence, GEN, MLS, MSR, NNGuide, NeCo, PCE, PE, REN","CTMmeanOC, GEN, MSR, NNGuide, PCE, PE, REN, fDBD"
cdnv_score,tinyimagenet,0.25916467614357813,"CTM, Confidence, Energy, GE, NNGuide, PE","CTM, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PCE, PE, ViM","CTM, CTMmean, CTMmeanOC, Confidence, GradNorm, KPCA RecError global, NNGuide, NeCo, PE, fDBD"
cdnv_score,isun,0.40957509267432773,"CTM, Confidence, Energy, GE, NNGuide, PE","CTM, CTMmean, Energy, GE, MLS, NNGuide, NeCo, PCE, PE, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
cdnv_score,lsun resize,0.44339047660145725,"CTM, Confidence, Energy, GE, MLS, Maha, NNGuide, PE","CTM, Energy, GE, MLS, NNGuide, NeCo, PE","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
cdnv_score,lsun cropped,0.452894850417105,"CTM, Confidence, GE, Maha, PCE, PE, ViM",,"CTMmean, CTMmeanOC, Confidence, KPCA RecError global, NNGuide, REN, fDBD"
cdnv_score,places365,0.5321273594354652,"Maha, Residual, ViM","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, Maha, PCE, PE, REN, fDBD","CTMmeanOC, GEN, REN, fDBD"
cdnv_score,textures,0.5468303877588535,"CTM, Maha, ViM","CTM, CTMmean, CTMmeanOC, KPCA RecError global, Maha, REN, ViM, fDBD","CTMmean, CTMmeanOC, fDBD"
cdnv_score,svhn,0.6846676149471842,"CTM, CTMmean, CTMmeanOC, Confidence, GE, GEN, MSR, PCE, PE, REN","CTM, CTMmean, CTMmeanOC, KPCA RecError global, Maha, REN, Residual, ViM, fDBD, pNML","CTMmean, CTMmeanOC, NNGuide, REN, fDBD"
