nc_metric,low,mid,high
M_etf_diff,"CTMmean, CTMmeanOC, KPCA RecError global, PCA RecError global, ViM, pNML","KPCA RecError global, ViM","CTM, Energy, GE, GradNorm, MLS, PCE, PE"
bias_collapse,"CTMmean, CTMmeanOC, KPCA RecError global, pNML","KPCA RecError global, NNGuide, NeCo, ViM, fDBD","Energy, GE, MLS, PCE, PE"
cdnv_score,"CTMmeanOC, KPCA RecError global, NeCo, ViM, pNML","CTMmean, CTMmeanOC, GE, GradNorm, KPCA RecError global, NNGuide, PE, ViM, fDBD","Energy, GE, GradNorm, MLS, MSR, PCE, PE"
equiangular_uc,"KPCA RecError global, NeCo, ViM, pNML","CTM, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PCE, PE, fDBD","CTMmean, CTMmeanOC, GE, GradNorm, KPCA RecError global, MLS, MSR, PCE, PE"
equiangular_wc,"Energy, GE, GradNorm, MLS, MSR, PCE, PE","KPCA RecError global, ViM","CTMmeanOC, KPCA RecError global, NNGuide, NeCo, ViM, pNML"
equinorm_uc,"KPCA RecError global, NNGuide, NeCo, ViM","CTMmean, CTMmeanOC, GE, GradNorm, KPCA RecError global, NNGuide, PCA RecError global, PE, ViM, fDBD, pNML","Energy, GE, GradNorm, MLS, MSR, PCE, PE"
equinorm_wc,"Energy, GE, GradNorm, MLS, PCE, PE","CTM, CTMmeanOC, GE, GradNorm, KPCA RecError global, NNGuide, PE, ViM, fDBD","CTMmean, CTMmeanOC, KPCA RecError global, PCA RecError global, ViM, pNML"
max_equiangular_uc,"KPCA RecError global, NeCo, ViM, pNML","CTM, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PCE, PE, fDBD","CTMmean, CTMmeanOC, GE, GradNorm, KPCA RecError global, MLS, MSR, PCE, PE"
max_equiangular_wc,"Energy, GE, MLS, PE","CTMmean, CTMmeanOC, GradNorm, KPCA RecError global, NNGuide, PCE, PE, ViM, fDBD","KPCA RecError global, PCA RecError global, ViM, pNML"
self_duality,"KPCA RecError global, NeCo, ViM, pNML","CTMmean, CTMmeanOC, GE, GradNorm, KPCA RecError global, PE, ViM, fDBD","Energy, GE, GradNorm, MLS, MSR, PCE, PE"
var_collapse,"KPCA RecError global, NNGuide, ViM, fDBD","CTMmean, CTMmeanOC, KPCA RecError global, PCA RecError global, ViM, pNML","Energy, GE, GradNorm, MLS, MSR, PCE, PE"
wM_etf_diff,"CTMmean, CTMmeanOC, KPCA RecError global, PCA RecError global, ViM, pNML","CTMmeanOC, KPCA RecError global, ViM","CTM, Energy, GE, GradNorm, MLS, PCE, PE"
w_etf_diff,"CTMmean, CTMmeanOC, KPCA RecError global, pNML","KPCA RecError global, NNGuide, NeCo, ViM, fDBD","Energy, GE, MLS, PE"
