nc_metric,bin,ood_set,clip_fid,method,avg_rank
var_collapse,low,isun,0.40957509267432773,pNML,15.714285714285714
var_collapse,low,isun,0.40957509267432773,GradNorm,16.857142857142858
var_collapse,low,isun,0.40957509267432773,Maha,20.428571428571427
var_collapse,low,isun,0.40957509267432773,Residual,22.0
var_collapse,low,lsun resize,0.44339047660145725,CTM,3.4285714285714284
var_collapse,low,lsun resize,0.44339047660145725,CTMmean,4.0
var_collapse,low,lsun resize,0.44339047660145725,CTMmeanOC,4.285714285714286
var_collapse,low,lsun resize,0.44339047660145725,NNGuide,4.571428571428571
var_collapse,low,lsun resize,0.44339047660145725,fDBD,6.142857142857143
var_collapse,low,lsun resize,0.44339047660145725,KPCA RecError global,7.428571428571429
var_collapse,low,lsun resize,0.44339047660145725,NeCo,8.857142857142858
var_collapse,low,lsun resize,0.44339047660145725,REN,9.142857142857142
var_collapse,low,lsun resize,0.44339047660145725,GEN,10.857142857142858
var_collapse,low,lsun resize,0.44339047660145725,Confidence,11.0
var_collapse,low,lsun resize,0.44339047660145725,MLS,11.428571428571429
var_collapse,low,lsun resize,0.44339047660145725,Energy,12.0
var_collapse,low,lsun resize,0.44339047660145725,PCE,13.285714285714286
var_collapse,low,lsun resize,0.44339047660145725,GE,13.428571428571429
var_collapse,low,lsun resize,0.44339047660145725,MSR,14.0
var_collapse,low,lsun resize,0.44339047660145725,ViM,14.428571428571429
var_collapse,low,lsun resize,0.44339047660145725,PE,14.571428571428571
var_collapse,low,lsun resize,0.44339047660145725,PCA RecError global,15.285714285714286
var_collapse,low,lsun resize,0.44339047660145725,pNML,15.428571428571429
var_collapse,low,lsun resize,0.44339047660145725,GradNorm,17.142857142857142
var_collapse,low,lsun resize,0.44339047660145725,Maha,20.285714285714285
var_collapse,low,lsun resize,0.44339047660145725,Residual,22.0
var_collapse,low,lsun cropped,0.452894850417105,CTMmeanOC,4.142857142857143
var_collapse,low,lsun cropped,0.452894850417105,CTMmean,4.857142857142857
var_collapse,low,lsun cropped,0.452894850417105,NNGuide,5.857142857142857
var_collapse,low,lsun cropped,0.452894850417105,KPCA RecError global,5.857142857142857
var_collapse,low,lsun cropped,0.452894850417105,CTM,6.428571428571429
var_collapse,low,lsun cropped,0.452894850417105,fDBD,6.428571428571429
var_collapse,low,lsun cropped,0.452894850417105,REN,9.142857142857142
var_collapse,low,lsun cropped,0.452894850417105,Confidence,9.142857142857142
var_collapse,low,lsun cropped,0.452894850417105,GEN,9.571428571428571
var_collapse,low,lsun cropped,0.452894850417105,MLS,10.428571428571429
var_collapse,low,lsun cropped,0.452894850417105,NeCo,10.857142857142858
var_collapse,low,lsun cropped,0.452894850417105,MSR,12.285714285714286
var_collapse,low,lsun cropped,0.452894850417105,Energy,12.428571428571429
var_collapse,low,lsun cropped,0.452894850417105,PCE,12.571428571428571
var_collapse,low,lsun cropped,0.452894850417105,GE,12.857142857142858
var_collapse,low,lsun cropped,0.452894850417105,PE,13.714285714285714
var_collapse,low,lsun cropped,0.452894850417105,GradNorm,15.428571428571429
var_collapse,low,lsun cropped,0.452894850417105,ViM,15.428571428571429
var_collapse,low,lsun cropped,0.452894850417105,PCA RecError global,15.857142857142858
var_collapse,low,lsun cropped,0.452894850417105,pNML,16.714285714285715
var_collapse,low,lsun cropped,0.452894850417105,Maha,21.0
var_collapse,low,lsun cropped,0.452894850417105,Residual,22.0
var_collapse,low,places365,0.5321273594354652,fDBD,3.7142857142857144
var_collapse,low,places365,0.5321273594354652,NNGuide,4.142857142857143
var_collapse,low,places365,0.5321273594354652,CTM,5.0
var_collapse,low,places365,0.5321273594354652,REN,5.285714285714286
var_collapse,low,places365,0.5321273594354652,GEN,6.857142857142857
var_collapse,low,places365,0.5321273594354652,CTMmeanOC,7.0
var_collapse,low,places365,0.5321273594354652,CTMmean,7.0
var_collapse,low,places365,0.5321273594354652,PCE,7.714285714285714
var_collapse,low,places365,0.5321273594354652,NeCo,8.428571428571429
var_collapse,low,places365,0.5321273594354652,PE,9.0
var_collapse,low,places365,0.5321273594354652,MLS,9.142857142857142
var_collapse,low,places365,0.5321273594354652,MSR,9.285714285714286
var_collapse,low,places365,0.5321273594354652,Confidence,11.285714285714286
var_collapse,low,places365,0.5321273594354652,Energy,13.0
var_collapse,low,places365,0.5321273594354652,GE,14.285714285714286
var_collapse,low,places365,0.5321273594354652,GradNorm,15.571428571428571
var_collapse,low,places365,0.5321273594354652,KPCA RecError global,16.857142857142858
var_collapse,low,places365,0.5321273594354652,PCA RecError global,18.428571428571427
var_collapse,low,places365,0.5321273594354652,pNML,19.0
var_collapse,low,places365,0.5321273594354652,ViM,19.0
var_collapse,low,places365,0.5321273594354652,Maha,21.0
var_collapse,low,places365,0.5321273594354652,Residual,22.0
var_collapse,low,textures,0.5468303877588535,CTMmean,2.142857142857143
var_collapse,low,textures,0.5468303877588535,fDBD,2.4285714285714284
var_collapse,low,textures,0.5468303877588535,CTMmeanOC,3.0
var_collapse,low,textures,0.5468303877588535,CTM,4.0
var_collapse,low,textures,0.5468303877588535,REN,8.0
var_collapse,low,textures,0.5468303877588535,NNGuide,8.142857142857142
var_collapse,low,textures,0.5468303877588535,GEN,8.285714285714286
var_collapse,low,textures,0.5468303877588535,MSR,9.714285714285714
var_collapse,low,textures,0.5468303877588535,PCE,10.0
var_collapse,low,textures,0.5468303877588535,Confidence,11.428571428571429
var_collapse,low,textures,0.5468303877588535,PE,11.714285714285714
var_collapse,low,textures,0.5468303877588535,NeCo,12.285714285714286
var_collapse,low,textures,0.5468303877588535,KPCA RecError global,12.285714285714286
var_collapse,low,textures,0.5468303877588535,MLS,13.142857142857142
var_collapse,low,textures,0.5468303877588535,ViM,14.0
var_collapse,low,textures,0.5468303877588535,Energy,14.428571428571429
var_collapse,low,textures,0.5468303877588535,PCA RecError global,14.428571428571429
var_collapse,low,textures,0.5468303877588535,GE,15.428571428571429
var_collapse,low,textures,0.5468303877588535,pNML,16.285714285714285
var_collapse,low,textures,0.5468303877588535,GradNorm,18.857142857142858
var_collapse,low,textures,0.5468303877588535,Maha,21.0
var_collapse,low,textures,0.5468303877588535,Residual,22.0
var_collapse,low,svhn,0.6846676149471842,CTM,2.142857142857143
var_collapse,low,svhn,0.6846676149471842,CTMmean,3.4285714285714284
var_collapse,low,svhn,0.6846676149471842,fDBD,3.4285714285714284
var_collapse,low,svhn,0.6846676149471842,CTMmeanOC,4.142857142857143
var_collapse,low,svhn,0.6846676149471842,REN,6.285714285714286
var_collapse,low,svhn,0.6846676149471842,KPCA RecError global,6.571428571428571
var_collapse,low,svhn,0.6846676149471842,GEN,6.857142857142857
var_collapse,low,svhn,0.6846676149471842,NNGuide,7.0
var_collapse,low,svhn,0.6846676149471842,MSR,10.285714285714286
var_collapse,low,svhn,0.6846676149471842,PCE,10.857142857142858
var_collapse,low,svhn,0.6846676149471842,Confidence,11.428571428571429
var_collapse,low,svhn,0.6846676149471842,PE,12.285714285714286
var_collapse,low,svhn,0.6846676149471842,MLS,12.714285714285714
var_collapse,low,svhn,0.6846676149471842,NeCo,12.857142857142858
var_collapse,low,svhn,0.6846676149471842,Energy,13.285714285714286
var_collapse,low,svhn,0.6846676149471842,ViM,14.857142857142858
var_collapse,low,svhn,0.6846676149471842,GE,15.428571428571429
var_collapse,low,svhn,0.6846676149471842,PCA RecError global,18.285714285714285
var_collapse,low,svhn,0.6846676149471842,GradNorm,18.571428571428573
var_collapse,low,svhn,0.6846676149471842,pNML,19.285714285714285
var_collapse,low,svhn,0.6846676149471842,Maha,21.0
var_collapse,low,svhn,0.6846676149471842,Residual,22.0
var_collapse,mid,cifar10,0.2171741844853313,GEN,2.1666666666666665
var_collapse,mid,cifar10,0.2171741844853313,REN,2.8333333333333335
var_collapse,mid,cifar10,0.2171741844853313,PCE,4.166666666666667
var_collapse,mid,cifar10,0.2171741844853313,MSR,4.833333333333333
var_collapse,mid,cifar10,0.2171741844853313,PE,7.166666666666667
var_collapse,mid,cifar10,0.2171741844853313,GradNorm,7.833333333333333
var_collapse,mid,cifar10,0.2171741844853313,Energy,8.5
var_collapse,mid,cifar10,0.2171741844853313,NeCo,8.5
var_collapse,mid,cifar10,0.2171741844853313,MLS,9.333333333333334
var_collapse,mid,cifar10,0.2171741844853313,GE,10.666666666666666
var_collapse,mid,cifar10,0.2171741844853313,Confidence,11.166666666666666
var_collapse,mid,cifar10,0.2171741844853313,fDBD,11.333333333333334
var_collapse,mid,cifar10,0.2171741844853313,NNGuide,11.833333333333334
var_collapse,mid,cifar10,0.2171741844853313,CTM,12.166666666666666
var_collapse,mid,cifar10,0.2171741844853313,CTMmeanOC,13.166666666666666
var_collapse,mid,cifar10,0.2171741844853313,CTMmean,14.333333333333334
var_collapse,mid,cifar10,0.2171741844853313,KPCA RecError global,15.166666666666666
var_collapse,mid,cifar10,0.2171741844853313,PCA RecError global,16.333333333333332
var_collapse,mid,cifar10,0.2171741844853313,pNML,19.166666666666668
var_collapse,mid,cifar10,0.2171741844853313,ViM,19.333333333333332
var_collapse,mid,cifar10,0.2171741844853313,Maha,21.5
var_collapse,mid,cifar10,0.2171741844853313,Residual,21.5
var_collapse,mid,tinyimagenet,0.25916467614357813,Energy,4.166666666666667
var_collapse,mid,tinyimagenet,0.25916467614357813,CTM,5.0
var_collapse,mid,tinyimagenet,0.25916467614357813,NeCo,7.333333333333333
var_collapse,mid,tinyimagenet,0.25916467614357813,NNGuide,7.666666666666667
var_collapse,mid,tinyimagenet,0.25916467614357813,MLS,7.833333333333333
var_collapse,mid,tinyimagenet,0.25916467614357813,KPCA RecError global,7.833333333333333
var_collapse,mid,tinyimagenet,0.25916467614357813,pNML,8.5
var_collapse,mid,tinyimagenet,0.25916467614357813,GE,8.833333333333334
