ood_set,avg_clip_fid,low,mid,high
cifar100,0.19080717366812822,CTM,"NNGuide, NeCo","Energy, MLS, NNGuide, NeCo"
cifar10,0.2171741844853313,"CTM, CTMmean, CTMmeanOC, GEN, NNGuide, REN","Energy, GEN, GradNorm, REN","GEN, PCE"
tinyimagenet,0.25916467614357813,,"CTM, Energy, GradNorm, NNGuide","Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo"
isun,0.40957509267432773,"CTM, CTMmean, CTMmeanOC, NNGuide","CTM, Energy, MLS, NNGuide, NeCo","Energy, GE, GradNorm, MLS, NNGuide, NeCo, ViM"
lsun resize,0.44339047660145725,"CTM, NNGuide","CTM, Energy, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PE","CTM, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, ViM"
lsun cropped,0.452894850417105,"CTM, KPCA RecError global, fDBD","CTM, Energy, GradNorm","Energy, GradNorm, MLS, NNGuide, NeCo"
places365,0.5321273594354652,"CTM, NNGuide, fDBD","Energy, GradNorm, NNGuide, fDBD","Energy, GEN, MLS, MSR, NeCo, PCE, PE, REN, fDBD"
textures,0.5468303877588535,"CTM, CTMmean, CTMmeanOC, fDBD","CTM, CTMmean, CTMmeanOC, KPCA RecError global, MLS, NNGuide, NeCo, PE","CTM, CTMmean, CTMmeanOC, KPCA RecError global, ViM, fDBD"
svhn,0.6846676149471842,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD",,"CTM, Energy, GEN, NNGuide, NeCo, PCE, PE, REN, fDBD"
