nc_metric,low,mid,high
M_etf_diff,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, NNGuide, NeCo, PE, REN, ViM, fDBD","CTM, CTMmean, CTMmeanOC, fDBD"
bias_collapse,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, REN, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
cdnv_score,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, NNGuide, NeCo, PE, REN, ViM, fDBD, pNML","CTM, CTMmean, CTMmeanOC, fDBD"
equiangular_uc,"Confidence, Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, ViM, fDBD"
equiangular_wc,"CTM, CTMmean, CTMmeanOC, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, REN, ViM, fDBD","Energy, GE, MLS, NeCo"
equinorm_uc,"Confidence, Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, ViM, fDBD"
equinorm_wc,"CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, NNGuide, NeCo, fDBD","CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PE","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
max_equiangular_uc,"Confidence, Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, ViM, fDBD"
max_equiangular_wc,"CTM, CTMmean, CTMmeanOC, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, REN, ViM, fDBD","Energy, GE, MLS, NeCo"
self_duality,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
var_collapse,"CTM, CTMmean, CTMmeanOC, fDBD","CTMmean, CTMmeanOC, Energy, GradNorm, MLS, NNGuide, NeCo, PE, fDBD","CTM, CTMmean, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, ViM"
wM_etf_diff,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, NNGuide, NeCo, PE, REN, ViM, fDBD","CTM, CTMmean, CTMmeanOC, fDBD"
w_etf_diff,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, NNGuide, NeCo, PE, REN, ViM, fDBD","CTM, CTMmean, CTMmeanOC, fDBD"
