ood_set,avg_clip_fid,low,mid,high
cifar100,0.19080717366812822,"CTM, Energy, MLS, NNGuide, NeCo, REN","CTM, CTMmeanOC, NNGuide, fDBD","CTM, CTMmean, CTMmeanOC"
cifar10,0.2171741844853313,"Confidence, GradNorm, NNGuide","CTM, CTMmeanOC, Confidence, GEN, MLS, MSR, NNGuide, NeCo, PCE, PE, REN","CTMmeanOC, GEN, MSR, NNGuide, PCE, PE, REN, fDBD"
tinyimagenet,0.25916467614357813,"CTM, Confidence, Energy, GE, NNGuide, PE","CTM, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PCE, PE, ViM","CTM, CTMmean, CTMmeanOC, Confidence, GradNorm, KPCA RecError global, NNGuide, NeCo, PE, fDBD"
isun,0.40957509267432773,"CTM, Confidence, Energy, GE, NNGuide, PE","CTM, CTMmean, Energy, GE, MLS, NNGuide, NeCo, PCE, PE, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
lsun resize,0.44339047660145725,"CTM, Confidence, Energy, GE, MLS, Maha, NNGuide, PE","CTM, Energy, GE, MLS, NNGuide, NeCo, PE","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
lsun cropped,0.452894850417105,"CTM, Confidence, GE, Maha, PCE, PE, ViM",,"CTMmean, CTMmeanOC, Confidence, KPCA RecError global, NNGuide, REN, fDBD"
places365,0.5321273594354652,"Maha, Residual, ViM","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, Maha, PCE, PE, REN, fDBD","CTMmeanOC, GEN, REN, fDBD"
textures,0.5468303877588535,"CTM, Maha, ViM","CTM, CTMmean, CTMmeanOC, KPCA RecError global, Maha, REN, ViM, fDBD","CTMmean, CTMmeanOC, fDBD"
svhn,0.6846676149471842,"CTM, CTMmean, CTMmeanOC, Confidence, GE, GEN, MSR, PCE, PE, REN","CTM, CTMmean, CTMmeanOC, KPCA RecError global, Maha, REN, Residual, ViM, fDBD, pNML","CTMmean, CTMmeanOC, NNGuide, REN, fDBD"
