nc_metric,bin,method,avg_rank
var_collapse,low,ViM,1.8571428571428572
var_collapse,low,KPCA RecError global,4.0
var_collapse,low,fDBD,4.857142857142857
var_collapse,low,NNGuide,5.714285714285714
var_collapse,low,NeCo,6.857142857142857
var_collapse,low,PE,8.285714285714286
var_collapse,low,CTM,8.428571428571429
var_collapse,low,CTMmeanOC,9.285714285714286
var_collapse,low,GE,9.857142857142858
var_collapse,low,MLS,10.285714285714286
var_collapse,low,CTMmean,11.714285714285714
var_collapse,low,Energy,11.714285714285714
var_collapse,low,GradNorm,13.0
var_collapse,low,Maha,13.142857142857142
var_collapse,low,PCE,13.142857142857142
var_collapse,low,pNML,14.285714285714286
var_collapse,low,MSR,15.0
var_collapse,low,PCA RecError global,15.285714285714286
var_collapse,low,GEN,17.428571428571427
var_collapse,low,REN,18.428571428571427
var_collapse,low,Residual,18.428571428571427
var_collapse,low,Confidence,22.0
var_collapse,mid,KPCA RecError global,3.0
var_collapse,mid,CTMmeanOC,4.333333333333333
var_collapse,mid,pNML,4.833333333333333
var_collapse,mid,CTMmean,5.5
var_collapse,mid,ViM,7.333333333333333
var_collapse,mid,PCA RecError global,7.666666666666667
var_collapse,mid,fDBD,10.5
var_collapse,mid,PCE,10.833333333333334
var_collapse,mid,MSR,10.833333333333334
var_collapse,mid,PE,11.0
var_collapse,mid,NNGuide,11.5
var_collapse,mid,GE,12.0
var_collapse,mid,GradNorm,12.0
var_collapse,mid,NeCo,12.333333333333334
var_collapse,mid,MLS,12.666666666666666
var_collapse,mid,GEN,14.0
var_collapse,mid,Residual,14.0
var_collapse,mid,Energy,14.333333333333334
var_collapse,mid,REN,16.5
var_collapse,mid,Maha,17.5
var_collapse,mid,CTM,18.666666666666668
var_collapse,mid,Confidence,21.666666666666668
var_collapse,high,GE,3.7142857142857144
var_collapse,high,PE,4.285714285714286
var_collapse,high,MLS,5.142857142857143
var_collapse,high,PCE,6.285714285714286
var_collapse,high,GradNorm,6.285714285714286
var_collapse,high,Energy,6.428571428571429
var_collapse,high,MSR,8.0
var_collapse,high,KPCA RecError global,10.142857142857142
var_collapse,high,GEN,10.857142857142858
var_collapse,high,NeCo,11.0
var_collapse,high,NNGuide,11.142857142857142
var_collapse,high,CTMmeanOC,11.571428571428571
var_collapse,high,CTM,11.857142857142858
var_collapse,high,fDBD,12.714285714285714
var_collapse,high,CTMmean,13.428571428571429
var_collapse,high,REN,13.571428571428571
var_collapse,high,PCA RecError global,13.857142857142858
var_collapse,high,ViM,14.428571428571429
var_collapse,high,pNML,16.857142857142858
var_collapse,high,Maha,19.571428571428573
var_collapse,high,Residual,19.857142857142858
var_collapse,high,Confidence,22.0
cdnv_score,low,ViM,2.4285714285714284
cdnv_score,low,KPCA RecError global,3.142857142857143
cdnv_score,low,pNML,6.285714285714286
cdnv_score,low,CTMmeanOC,6.714285714285714
cdnv_score,low,NeCo,6.714285714285714
cdnv_score,low,NNGuide,7.142857142857143
cdnv_score,low,PCA RecError global,7.285714285714286
cdnv_score,low,fDBD,8.142857142857142
cdnv_score,low,CTMmean,8.428571428571429
cdnv_score,low,Energy,11.285714285714286
cdnv_score,low,MLS,11.285714285714286
cdnv_score,low,GE,11.428571428571429
cdnv_score,low,PE,11.428571428571429
cdnv_score,low,PCE,14.285714285714286
cdnv_score,low,CTM,14.857142857142858
cdnv_score,low,Maha,15.0
cdnv_score,low,MSR,15.428571428571429
cdnv_score,low,Residual,15.714285714285714
cdnv_score,low,GradNorm,17.0
cdnv_score,low,GEN,17.714285714285715
cdnv_score,low,REN,19.571428571428573
cdnv_score,low,Confidence,21.714285714285715
cdnv_score,mid,KPCA RecError global,4.0
cdnv_score,mid,ViM,5.833333333333333
cdnv_score,mid,GradNorm,7.333333333333333
cdnv_score,mid,PE,7.666666666666667
cdnv_score,mid,CTMmeanOC,7.833333333333333
cdnv_score,mid,fDBD,8.5
cdnv_score,mid,GE,9.666666666666666
cdnv_score,mid,NNGuide,9.666666666666666
cdnv_score,mid,CTMmean,9.833333333333334
cdnv_score,mid,PCE,10.5
cdnv_score,mid,MLS,10.5
cdnv_score,mid,MSR,11.666666666666666
cdnv_score,mid,CTM,11.833333333333334
cdnv_score,mid,NeCo,12.166666666666666
cdnv_score,mid,pNML,12.333333333333334
cdnv_score,mid,Energy,13.333333333333334
cdnv_score,mid,PCA RecError global,14.5
cdnv_score,mid,GEN,14.666666666666666
cdnv_score,mid,Maha,15.666666666666666
