nc_metric,bin,method,avg_rank
bias_collapse,low,Energy,3.857142857142857
bias_collapse,low,NNGuide,4.714285714285714
bias_collapse,low,CTM,6.857142857142857
bias_collapse,low,NeCo,7.714285714285714
bias_collapse,low,GradNorm,8.428571428571429
bias_collapse,low,PE,8.857142857142858
bias_collapse,low,MLS,8.857142857142858
bias_collapse,low,KPCA RecError global,9.571428571428571
bias_collapse,low,PCE,10.142857142857142
bias_collapse,low,GE,10.285714285714286
bias_collapse,low,CTMmeanOC,10.428571428571429
bias_collapse,low,CTMmean,10.571428571428571
bias_collapse,low,GEN,11.428571428571429
bias_collapse,low,fDBD,11.428571428571429
bias_collapse,low,MSR,11.857142857142858
bias_collapse,low,Confidence,12.285714285714286
bias_collapse,low,REN,13.571428571428571
bias_collapse,low,pNML,15.285714285714286
bias_collapse,low,ViM,15.571428571428571
bias_collapse,low,PCA RecError global,19.857142857142858
bias_collapse,low,Residual,20.0
bias_collapse,low,Maha,21.428571428571427
bias_collapse,mid,CTM,2.6666666666666665
bias_collapse,mid,NNGuide,4.5
bias_collapse,mid,fDBD,5.833333333333333
bias_collapse,mid,CTMmeanOC,6.166666666666667
bias_collapse,mid,CTMmean,6.333333333333333
bias_collapse,mid,REN,7.5
bias_collapse,mid,KPCA RecError global,7.833333333333333
bias_collapse,mid,PE,9.666666666666666
bias_collapse,mid,GEN,10.5
bias_collapse,mid,PCE,10.666666666666666
bias_collapse,mid,Energy,10.833333333333334
bias_collapse,mid,NeCo,11.0
bias_collapse,mid,MLS,11.166666666666666
bias_collapse,mid,MSR,11.833333333333334
bias_collapse,mid,Confidence,12.0
bias_collapse,mid,GE,13.666666666666666
bias_collapse,mid,ViM,16.166666666666668
bias_collapse,mid,pNML,16.833333333333332
bias_collapse,mid,GradNorm,17.333333333333332
bias_collapse,mid,PCA RecError global,18.833333333333332
bias_collapse,mid,Residual,20.333333333333332
bias_collapse,mid,Maha,21.333333333333332
bias_collapse,high,fDBD,5.0
bias_collapse,high,NeCo,5.714285714285714
bias_collapse,high,Energy,5.857142857142857
bias_collapse,high,CTMmean,6.142857142857143
