nc_metric,bin,ood_set,clip_fid,n_models,n_methods_input,n_methods_used,n_blocks_used,friedman_stat,friedman_p,significant,top_clique,top_clique_size
var_collapse,low,cifar100,0.19080717366812822,10,22,22,5,103.89011857707516,5.880771040962184e-13,True,CTM,1
var_collapse,low,cifar10,0.2171741844853313,14,22,22,7,118.69734613212881,1.2372013450809612e-15,True,"CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD",6
var_collapse,low,tinyimagenet,0.25916467614357813,4,22,22,2,39.03557312252963,0.009719747682490792,True,"CTM, CTMmean, CTMmeanOC, ViM, fDBD",5
var_collapse,low,isun,0.40957509267432773,14,22,22,7,130.32467532467535,8.83376578449127e-18,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
var_collapse,low,lsun resize,0.44339047660145725,14,22,22,7,130.62958780350084,7.751939939661624e-18,True,"CTM, CTMmean, CTMmeanOC",3
var_collapse,low,lsun cropped,0.452894850417105,14,22,22,7,107.55787690570298,1.2971930365915183e-13,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, REN, fDBD",7
var_collapse,low,places365,0.5321273594354652,14,22,22,7,128.58328627893854,1.861009186397377e-17,True,"CTM, NNGuide, REN, fDBD",4
var_collapse,low,textures,0.5468303877588535,14,22,22,7,135.806324110672,8.374148945546664e-19,True,"CTMmean, CTMmeanOC",2
var_collapse,low,svhn,0.6846676149471842,14,22,22,7,126.42179559570866,4.6816936543182983e-17,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD",5
var_collapse,mid,cifar100,0.19080717366812822,6,22,22,3,59.964426877470316,1.293098780419299e-05,True,"Energy, MLS, NNGuide, NeCo",4
var_collapse,mid,cifar10,0.2171741844853313,6,22,22,3,61.845849802371504,6.685701762522173e-06,True,"MSR, PCE",2
var_collapse,mid,tinyimagenet,0.25916467614357813,12,22,22,6,58.039525691699566,2.5173330412477802e-05,True,"Energy, GradNorm, MLS, NNGuide, NeCo, pNML",6
var_collapse,mid,isun,0.40957509267432773,12,22,22,6,62.48221343873513,5.338933616660078e-06,True,"Energy, GradNorm, MLS, NNGuide, NeCo, fDBD, pNML",7
var_collapse,mid,lsun resize,0.44339047660145725,12,22,22,6,61.62845849802369,7.218215716429913e-06,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, MLS, NNGuide, NeCo, fDBD, pNML",11
var_collapse,mid,lsun cropped,0.452894850417105,12,22,22,6,51.43873517786557,0.00022930417837466928,True,"CTMmeanOC, Confidence, GradNorm, NNGuide",4
var_collapse,mid,places365,0.5321273594354652,12,22,22,6,54.45059288537544,8.496990490827467e-05,True,"CTMmean, CTMmeanOC, Energy, GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, NNGuide, NeCo, PCE, PE, REN, fDBD, pNML",16
var_collapse,mid,textures,0.5468303877588535,12,22,22,6,54.916996047430814,7.268877342801203e-05,True,"CTMmean, CTMmeanOC, KPCA RecError global, MLS, NNGuide, NeCo",6
var_collapse,mid,svhn,0.6846676149471842,12,22,22,6,53.217391304347814,0.00012800306086492246,True,"CTM, CTMmean, CTMmeanOC, Energy, GEN, MLS, MSR, NNGuide, NeCo, PCE, PE, REN, fDBD",13
var_collapse,high,cifar100,0.19080717366812822,4,22,22,2,38.77470355731225,0.010441299319545846,True,"Energy, GE, MLS, NNGuide, NeCo",5
var_collapse,high,cifar10,0.2171741844853313,10,22,22,5,92.13675889328067,6.889074170595121e-11,True,"Confidence, GradNorm, MLS, NeCo, PE, REN",6
var_collapse,high,tinyimagenet,0.25916467614357813,14,22,22,7,85.39412761151891,9.935073972149087e-10,True,"Energy, GE, MLS, NeCo, PE",5
var_collapse,high,isun,0.40957509267432773,14,22,22,7,59.78825522303782,1.3749058935815895e-05,True,"Energy, GE, MLS, NNGuide, NeCo, PE, pNML",7
var_collapse,high,lsun resize,0.44339047660145725,14,22,22,7,78.73348390739693,1.313191816345234e-08,True,"Energy, GE, MLS, NeCo",4
var_collapse,high,lsun cropped,0.452894850417105,14,22,22,7,109.46188594014689,5.894050280177124e-14,True,"Confidence, Energy, GE",3
var_collapse,high,places365,0.5321273594354652,14,22,22,7,74.51891586674196,6.512965426991796e-08,True,"CTMmean, CTMmeanOC, Confidence, Energy, GE, GradNorm, KPCA RecError global, NNGuide, NeCo, ViM, fDBD, pNML",12
var_collapse,high,textures,0.5468303877588535,14,22,22,7,74.92546583850935,5.587358485095517e-08,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, REN, ViM, fDBD",8
var_collapse,high,svhn,0.6846676149471842,14,22,22,7,38.07848673066064,0.012618360965573682,True,"CTM, CTMmean, CTMmeanOC, GEN, KPCA RecError global, MSR, NNGuide, PCE, REN, ViM, fDBD",11
cdnv_score,low,cifar100,0.19080717366812822,10,22,22,5,97.44901185770755,8.131107242820448e-12,True,"Energy, MLS, NNGuide, NeCo",4
cdnv_score,low,cifar10,0.2171741844853313,4,22,22,2,36.11857707509881,0.021204006117403515,True,"Confidence, GE, GEN, GradNorm, MLS, MSR, NeCo, PCE, PE, REN",10
cdnv_score,low,tinyimagenet,0.25916467614357813,14,22,22,7,99.5014116318464,3.5353073759470046e-12,True,"Energy, GE, GradNorm, MLS, NeCo",5
cdnv_score,low,isun,0.40957509267432773,14,22,22,7,83.19875776397521,2.3415044664317563e-09,True,"Energy, GE, MLS, NNGuide, NeCo",5
cdnv_score,low,lsun resize,0.44339047660145725,14,22,22,7,100.36871823828346,2.4835048169617618e-12,True,"Energy, GE, MLS, NNGuide, NeCo",5
cdnv_score,low,lsun cropped,0.452894850417105,14,22,22,7,116.89497459062682,2.6418739043387063e-15,True,"Confidence, Energy, NeCo",3
cdnv_score,low,places365,0.5321273594354652,14,22,22,7,86.43760587238853,6.596246637946436e-10,True,"Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, pNML",9
cdnv_score,low,textures,0.5468303877588535,14,22,22,7,63.5556182947488,3.645796355355406e-06,True,"Energy, GE, MLS, NNGuide, NeCo",5
cdnv_score,low,svhn,0.6846676149471842,14,22,22,7,39.14906832298141,0.009420576955302495,True,"CTMmean, CTMmeanOC, Confidence, Energy, GE, GEN, GradNorm, MLS, MSR, NNGuide, NeCo, PCE, REN",13
cdnv_score,mid,cifar10,0.2171741844853313,12,22,22,6,92.82213438735175,5.237564160555814e-11,True,"GEN, MLS, MSR, NeCo, PCE, PE, REN",7
cdnv_score,mid,tinyimagenet,0.25916467614357813,12,22,22,6,40.57707509881419,0.0063221093023693095,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, REN, ViM, fDBD, pNML",14
cdnv_score,mid,isun,0.40957509267432773,12,22,22,6,36.62450592885375,0.018583259370534698,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, ViM, fDBD, pNML",15
cdnv_score,mid,lsun resize,0.44339047660145725,12,22,22,6,38.3478260869565,0.011730461376104928,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PCA RecError global, PE, ViM, fDBD, pNML",15
cdnv_score,mid,lsun cropped,0.452894850417105,12,22,22,6,53.58102766798413,0.00011348709836594356,True,"CTMmean, CTMmeanOC, Confidence, GradNorm, KPCA RecError global, REN, fDBD",7
cdnv_score,mid,places365,0.5321273594354652,12,22,22,6,65.65217391304344,1.7185651065164131e-06,True,"CTMmean, CTMmeanOC, REN, fDBD",4
cdnv_score,mid,textures,0.5468303877588535,12,22,22,6,113.43083003952563,1.128468295331463e-14,True,"CTM, CTMmean, CTMmeanOC, ViM, fDBD",5
cdnv_score,mid,svhn,0.6846676149471842,12,22,22,6,96.10276679841894,1.4011312423812722e-11,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, ViM, fDBD",6
cdnv_score,high,cifar100,0.19080717366812822,10,22,22,5,103.89011857707516,5.880771040962184e-13,True,CTM,1
cdnv_score,high,cifar10,0.2171741844853313,14,22,22,7,119.53754940711462,8.680377114163105e-16,True,"CTM, CTMmean, CTMmeanOC, GEN, NNGuide, fDBD",6
cdnv_score,high,tinyimagenet,0.25916467614357813,4,22,22,2,33.011857707509876,0.0460857989167679,True,"CTM, CTMmean, CTMmeanOC, GradNorm, NNGuide, PCA RecError global, ViM, fDBD, pNML",9
cdnv_score,high,isun,0.40957509267432773,14,22,22,7,108.16092603049128,1.0107149430903371e-13,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
cdnv_score,high,lsun resize,0.44339047660145725,14,22,22,7,105.78260869565224,2.6997307730143686e-13,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
cdnv_score,high,lsun cropped,0.452894850417105,14,22,22,7,100.21964991530217,2.6390346602887303e-12,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, REN, fDBD",7
cdnv_score,high,places365,0.5321273594354652,14,22,22,7,128.43421795595714,1.9834274794338675e-17,True,"CTM, NNGuide, REN, fDBD",4
cdnv_score,high,textures,0.5468303877588535,14,22,22,7,134.98644833427443,1.1923514247924677e-18,True,"CTMmean, CTMmeanOC",2
cdnv_score,high,svhn,0.6846676149471842,14,22,22,7,129.19311123658952,1.4338593683634118e-17,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD",5
bias_collapse,low,cifar100,0.19080717366812822,10,22,22,5,97.44901185770755,8.131107242820448e-12,True,"Energy, MLS, NNGuide, NeCo",4
bias_collapse,low,cifar10,0.2171741844853313,4,22,22,2,36.11857707509881,0.021204006117403515,True,"Confidence, GE, GEN, GradNorm, MLS, MSR, NeCo, PCE, PE, REN",10
bias_collapse,low,tinyimagenet,0.25916467614357813,14,22,22,7,99.5014116318464,3.5353073759470046e-12,True,"Energy, GE, GradNorm, MLS, NeCo",5
bias_collapse,low,isun,0.40957509267432773,14,22,22,7,83.19875776397521,2.3415044664317563e-09,True,"Energy, GE, MLS, NNGuide, NeCo",5
bias_collapse,low,lsun resize,0.44339047660145725,14,22,22,7,100.36871823828346,2.4835048169617618e-12,True,"Energy, GE, MLS, NNGuide, NeCo",5
bias_collapse,low,lsun cropped,0.452894850417105,14,22,22,7,116.89497459062682,2.6418739043387063e-15,True,"Confidence, Energy, NeCo",3
bias_collapse,low,places365,0.5321273594354652,14,22,22,7,86.43760587238853,6.596246637946436e-10,True,"Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, pNML",9
bias_collapse,low,textures,0.5468303877588535,14,22,22,7,63.5556182947488,3.645796355355406e-06,True,"Energy, GE, MLS, NNGuide, NeCo",5
bias_collapse,low,svhn,0.6846676149471842,14,22,22,7,39.14906832298141,0.009420576955302495,True,"CTMmean, CTMmeanOC, Confidence, Energy, GE, GEN, GradNorm, MLS, MSR, NNGuide, NeCo, PCE, REN",13
bias_collapse,mid,cifar100,0.19080717366812822,6,22,22,3,62.50988142292488,5.286864217339054e-06,True,CTM,1
bias_collapse,mid,cifar10,0.2171741844853313,12,22,22,6,74.01581027667982,7.870533685347866e-08,True,"CTM, CTMmean, CTMmeanOC, Confidence, GEN, KPCA RecError global, MLS, MSR, NeCo, PE, REN, fDBD",12
bias_collapse,mid,tinyimagenet,0.25916467614357813,6,22,22,3,46.03557312252963,0.0012639760141905185,True,"Energy, GE, MLS, NeCo, PE, pNML",6
bias_collapse,mid,isun,0.40957509267432773,12,22,22,6,33.699604743083,0.03901261895767679,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, GEN, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, fDBD, pNML",14
bias_collapse,mid,lsun resize,0.44339047660145725,12,22,22,6,32.65612648221338,0.05017196598585815,False,,0
bias_collapse,mid,lsun cropped,0.452894850417105,12,22,22,6,70.70355731225294,2.709112638221077e-07,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD",5
bias_collapse,mid,places365,0.5321273594354652,12,22,22,6,62.81422924901182,4.74602319471515e-06,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, fDBD",10
bias_collapse,mid,textures,0.5468303877588535,12,22,22,6,98.12648221343875,6.1792853091070155e-12,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
bias_collapse,mid,svhn,0.6846676149471842,12,22,22,6,84.03952569169957,1.687390401282755e-09,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD",5
bias_collapse,high,cifar100,0.19080717366812822,4,22,22,2,41.5494071146245,0.004791598051963199,True,"CTM, fDBD",2
bias_collapse,high,cifar10,0.2171741844853313,14,22,22,7,118.6499153020892,1.2621835065419475e-15,True,"GEN, MSR, NNGuide, PCE, PE, fDBD",6
bias_collapse,high,tinyimagenet,0.25916467614357813,10,22,22,5,72.25375494071147,1.5225774637913223e-07,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
bias_collapse,high,isun,0.40957509267432773,14,22,22,7,101.90683229813669,1.3254706544313634e-12,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
bias_collapse,high,lsun resize,0.44339047660145725,14,22,22,7,98.64088085827223,5.015301938692788e-12,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
bias_collapse,high,lsun cropped,0.452894850417105,14,22,22,7,95.06324110671937,2.130299499693656e-11,True,"CTMmean, CTMmeanOC, Confidence, GradNorm, KPCA RecError global, NNGuide, REN, fDBD",8
bias_collapse,high,places365,0.5321273594354652,14,22,22,7,127.24167137210623,3.300388980669147e-17,True,"REN, fDBD",2
bias_collapse,high,textures,0.5468303877588535,14,22,22,7,133.746470920384,2.0333985700505154e-18,True,"CTMmean, CTMmeanOC",2
bias_collapse,high,svhn,0.6846676149471842,14,22,22,7,126.12365894974596,5.3158838108526825e-17,True,"CTM, CTMmean, CTMmeanOC, fDBD",4
equiangular_uc,low,cifar100,0.19080717366812822,14,22,22,7,79.93280632411074,8.286318043049021e-09,True,"Energy, GE, MLS, NNGuide, NeCo",5
equiangular_uc,low,cifar10,0.2171741844853313,4,22,22,2,41.66798418972331,0.0046309401608155025,True,"CTM, CTMmeanOC",2
equiangular_uc,low,tinyimagenet,0.25916467614357813,10,22,22,5,91.6814229249012,8.262692902027639e-11,True,"Confidence, Energy, MLS, NeCo",4
equiangular_uc,low,isun,0.40957509267432773,14,22,22,7,76.97854319593455,2.5663687986111052e-08,True,"Confidence, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, fDBD",9
equiangular_uc,low,lsun resize,0.44339047660145725,14,22,22,7,82.27046866177307,3.358354047574679e-09,True,"Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, fDBD",9
equiangular_uc,low,lsun cropped,0.452894850417105,14,22,22,7,90.24562394127611,1.463770660219437e-10,True,"CTM, Confidence, Energy, MLS, NNGuide, NeCo",6
equiangular_uc,low,places365,0.5321273594354652,14,22,22,7,83.36815358554497,2.1921001509201797e-09,True,"Energy, GE, MLS, NNGuide, NeCo",5
equiangular_uc,low,textures,0.5468303877588535,14,22,22,7,89.01919819311127,2.381388806361206e-10,True,"Energy, MLS, NNGuide, NeCo",4
equiangular_uc,low,svhn,0.6846676149471842,14,22,22,7,76.71428571428578,2.8376939771638932e-08,True,"CTMmeanOC, Confidence, Energy, GE, MLS, NNGuide, NeCo, PCE, PE, REN",10
equiangular_uc,mid,cifar100,0.19080717366812822,6,22,22,3,62.335968379446626,5.6226394341612605e-06,True,"CTM, fDBD",2
equiangular_uc,mid,cifar10,0.2171741844853313,12,22,22,6,96.45059288537544,1.2175636566017878e-11,True,"CTM, CTMmeanOC, GEN, MSR, NNGuide, PCE, PE, REN, fDBD",9
equiangular_uc,mid,tinyimagenet,0.25916467614357813,6,22,22,3,44.15415019762844,0.0022330642913796503,True,"CTM, CTMmean, CTMmeanOC, NNGuide, ViM, fDBD",6
equiangular_uc,mid,isun,0.40957509267432773,12,22,22,6,93.99209486166006,3.276792097671107e-11,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
equiangular_uc,mid,lsun resize,0.44339047660145725,12,22,22,6,92.395256916996,6.21286306640099e-11,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
equiangular_uc,mid,lsun cropped,0.452894850417105,12,22,22,6,82.11067193675888,3.5730566520433117e-09,True,"CTM, CTMmean, CTMmeanOC, Confidence, GEN, KPCA RecError global, NNGuide, REN, fDBD",9
equiangular_uc,mid,places365,0.5321273594354652,12,22,22,6,105.399209486166,3.161709463068027e-13,True,"CTM, CTMmeanOC, GEN, NNGuide, REN, fDBD",6
equiangular_uc,mid,textures,0.5468303877588535,12,22,22,6,113.97628458498025,8.983367817361326e-15,True,"CTMmean, CTMmeanOC",2
equiangular_uc,mid,svhn,0.6846676149471842,12,22,22,6,106.63241106719363,1.901437147687843e-13,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD",5
equiangular_uc,high,cifar10,0.2171741844853313,14,22,22,7,108.3506493506494,9.343455423659197e-14,True,"Confidence, GEN, GradNorm, MLS, MSR, NeCo, PE, REN",8
equiangular_uc,high,tinyimagenet,0.25916467614357813,14,22,22,7,63.14906832298141,4.213707826343825e-06,True,"CTM, Energy, GE, GradNorm, MLS, NeCo, PE, REN, pNML",9
equiangular_uc,high,isun,0.40957509267432773,14,22,22,7,49.07566346696785,0.0004898216863739462,True,"CTM, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, ViM, fDBD, pNML",11
equiangular_uc,high,lsun resize,0.44339047660145725,14,22,22,7,56.87464709203846,3.7502136419775054e-05,True,"CTM, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, ViM, pNML",10
equiangular_uc,high,lsun cropped,0.452894850417105,14,22,22,7,76.13156408808584,3.540384233826654e-08,True,"CTMmean, Confidence, Energy, GE, GradNorm, KPCA RecError global, fDBD",7
equiangular_uc,high,places365,0.5321273594354652,14,22,22,7,78.45567476002259,1.4605679429275077e-08,True,"CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, fDBD",5
equiangular_uc,high,textures,0.5468303877588535,14,22,22,7,133.66516092603058,2.1057743284710525e-18,True,"CTM, CTMmean, ViM",3
equiangular_uc,high,svhn,0.6846676149471842,14,22,22,7,116.01411631846418,3.824651239606937e-15,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, ViM, fDBD",6
equiangular_wc,low,cifar100,0.19080717366812822,10,22,22,5,103.89011857707516,5.880771040962184e-13,True,CTM,1
equiangular_wc,low,cifar10,0.2171741844853313,14,22,22,7,118.69734613212881,1.2372013450809612e-15,True,"CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD",6
equiangular_wc,low,tinyimagenet,0.25916467614357813,4,22,22,2,39.03557312252963,0.009719747682490792,True,"CTM, CTMmean, CTMmeanOC, ViM, fDBD",5
