nc_metric,bin,n_models,n_methods_input,n_methods_used,n_blocks_used,friedman_stat,friedman_p,significant,top_clique,top_clique_size
var_collapse,low,14,22,22,7,98.13269339356304,6.163741652739809e-12,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
var_collapse,mid,12,22,22,6,80.76679841897231,6.008901549155178e-09,True,"CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, NNGuide, NeCo, fDBD",9
var_collapse,high,14,22,22,7,91.60756634669679,8.509816644812353e-11,True,"Energy, NNGuide",2
cdnv_score,low,14,22,22,7,91.60756634669679,8.509816644812353e-11,True,"Energy, NNGuide",2
cdnv_score,mid,12,22,22,6,78.22134387351775,1.5975277622367157e-08,True,"CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, NNGuide, NeCo, fDBD",9
cdnv_score,high,14,22,22,7,101.80519480519479,1.3817118089810479e-12,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
bias_collapse,low,14,22,22,7,74.6070016939583,6.300346111171753e-08,True,"CTM, Energy, GradNorm, MLS, NNGuide, NeCo, PE",7
bias_collapse,mid,12,22,22,6,80.73517786561263,6.082670019088877e-09,True,"CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD",6
bias_collapse,high,14,22,22,7,87.901185770751,3.7056281708671373e-10,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, fDBD",10
equiangular_uc,low,14,22,22,7,117.1524562394128,2.3708364818080088e-15,True,"CTM, CTMmean, CTMmeanOC, fDBD",4
equiangular_uc,mid,12,22,22,6,68.395256916996,6.339322927904566e-07,True,"CTM, Energy, KPCA RecError global, MLS, NNGuide, NeCo, PE",7
equiangular_uc,high,14,22,22,7,101.86617730095998,1.3476885129192023e-12,True,"Energy, MLS, NNGuide, NeCo",4
equiangular_wc,low,14,22,22,7,130.5482778091474,8.026791511488673e-18,True,CTM,1
equiangular_wc,mid,12,22,22,6,59.40711462450588,1.569638141134526e-05,True,"CTM, Energy, GradNorm, KPCA RecError global, NNGuide, NeCo",6
equiangular_wc,high,14,22,22,7,102.11688311688317,1.2163537484205993e-12,True,"Energy, MLS, NNGuide, NeCo",4
equinorm_uc,low,14,22,22,7,104.96273291925468,3.7840532246002023e-13,True,"CTM, CTMmean, fDBD",3
equinorm_uc,mid,12,22,22,6,73.69960474308294,8.863254603804192e-08,True,"CTM, CTMmean, CTMmeanOC, Energy, MLS, NNGuide, NeCo, PE",8
equinorm_uc,high,14,22,22,7,103.27555053642016,7.567550649528205e-13,True,"Energy, MLS, NNGuide, NeCo",4
equinorm_wc,low,14,22,22,7,76.58554488989273,2.9799759832226115e-08,True,"CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, NNGuide, fDBD",7
equinorm_wc,mid,12,22,22,6,75.3438735177865,4.770621663957952e-08,True,"CTM, CTMmeanOC, Energy, MLS, NNGuide, NeCo",6
equinorm_wc,high,14,22,22,7,90.4014680971203,1.3758264105635664e-10,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, fDBD",10
max_equiangular_uc,low,14,22,22,7,111.6979107848673,2.3257538689829887e-14,True,"CTM, CTMmean, CTMmeanOC, fDBD",4
max_equiangular_uc,mid,12,22,22,6,70.48221343873513,2.940431587966612e-07,True,"CTM, Energy, KPCA RecError global, MLS, NNGuide, NeCo, PE",7
max_equiangular_uc,high,14,22,22,7,101.86617730095998,1.3476885129192023e-12,True,"Energy, MLS, NNGuide, NeCo",4
max_equiangular_wc,low,14,22,22,7,130.5482778091474,8.026791511488673e-18,True,CTM,1
