nc_metric,ood_set,clip_fid,low,mid,high
var_collapse,cifar100,0.19080717366812822,CTM,,"NNGuide, NeCo"
var_collapse,cifar10,0.2171741844853313,"CTM, CTMmean, CTMmeanOC, GEN, MSR, NNGuide, PCE, REN, fDBD","GEN, MSR, PCE, REN","Confidence, Energy, GEN, GradNorm, MSR, PCE, REN"
var_collapse,tinyimagenet,0.25916467614357813,"CTMmean, CTMmeanOC, Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PCA RecError global, pNML","CTM, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, pNML","Energy, GradNorm, NNGuide"
var_collapse,isun,0.40957509267432773,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, ViM, fDBD, pNML","Energy, NNGuide"
var_collapse,lsun resize,0.44339047660145725,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, fDBD","CTM, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, ViM, pNML","Energy, GradNorm, MLS, NNGuide, NeCo"
var_collapse,lsun cropped,0.452894850417105,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, fDBD","Energy, GradNorm, KPCA RecError global, MLS, NeCo","CTM, Energy, NNGuide"
var_collapse,places365,0.5321273594354652,"CTM, GEN, NNGuide, REN, fDBD","GEN, REN, fDBD","Energy, GradNorm, NNGuide, NeCo"
var_collapse,textures,0.5468303877588535,"CTM, CTMmean, CTMmeanOC, fDBD","CTM, CTMmean, CTMmeanOC, KPCA RecError global, ViM, fDBD","CTM, MLS, NNGuide, NeCo"
var_collapse,svhn,0.6846676149471842,"CTM, CTMmean, CTMmeanOC, fDBD","CTM, CTMmean, GEN, KPCA RecError global, REN, ViM, fDBD","CTM, Energy, GE, GEN, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PCE, PE, REN"
cdnv_score,cifar100,0.19080717366812822,"NNGuide, NeCo",,CTM
cdnv_score,cifar10,0.2171741844853313,"Confidence, Energy, GEN, GradNorm, MSR, PCE, REN","GEN, MSR, PCE, REN","CTM, CTMmean, CTMmeanOC, GEN, MSR, NNGuide, PCE, REN, fDBD"
cdnv_score,tinyimagenet,0.25916467614357813,"Energy, GradNorm, NNGuide","CTM, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, pNML","CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PCA RecError global, ViM, fDBD, pNML"
cdnv_score,isun,0.40957509267432773,"Energy, NNGuide","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
cdnv_score,lsun resize,0.44339047660145725,"Energy, GradNorm, MLS, NNGuide, NeCo","CTM, CTMmean, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, ViM, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
cdnv_score,lsun cropped,0.452894850417105,"CTM, Energy, NNGuide","Energy, GradNorm, MLS, NeCo","CTM, CTMmean, CTMmeanOC, Confidence, KPCA RecError global, NNGuide, fDBD"
cdnv_score,places365,0.5321273594354652,"Energy, GradNorm, NNGuide, NeCo","GEN, PCE, REN, fDBD","CTM, CTMmean, GEN, NNGuide, REN, fDBD"
