ood_set,avg_clip_fid,low,mid,high
cifar100,0.19080717366812822,"Energy, GE, MLS, NNGuide, NeCo",CTM,
cifar10,0.2171741844853313,"CTM, CTMmeanOC","CTM, CTMmean, CTMmeanOC, GEN, GradNorm, KPCA RecError global, MLS, MSR, NeCo, PE, REN, fDBD","GEN, MSR, PCE, PE"
tinyimagenet,0.25916467614357813,"Confidence, Energy, MLS, NeCo","CTM, Energy, GE, MLS, NeCo, PE, pNML","CTM, CTMmean, CTMmeanOC, GradNorm, fDBD, pNML"
isun,0.40957509267432773,"Confidence, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, fDBD","CTM, CTMmeanOC, Energy, GE, MLS, NNGuide, NeCo, PE, REN, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, ViM, fDBD, pNML"
lsun resize,0.44339047660145725,"Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PE, fDBD","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, fDBD, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, ViM, fDBD, pNML"
lsun cropped,0.452894850417105,"CTM, Confidence, Energy, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD","CTMmean, CTMmeanOC, Confidence, GradNorm, KPCA RecError global, fDBD"
places365,0.5321273594354652,"Energy, GE, GradNorm, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, fDBD","CTMmean, CTMmeanOC, fDBD"
textures,0.5468303877588535,"Energy, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTMmean, CTMmeanOC, ViM"
svhn,0.6846676149471842,"CTMmeanOC, Confidence, Energy, MLS, NNGuide, NeCo, PCE, PE, REN","CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD","CTM, CTMmean, CTMmeanOC, ViM, fDBD"
