nc_metric,bin,method,avg_rank
var_collapse,low,CTM,1.8571428571428572
var_collapse,low,CTMmeanOC,2.142857142857143
var_collapse,low,CTMmean,2.5714285714285716
var_collapse,low,fDBD,3.4285714285714284
var_collapse,low,NNGuide,5.285714285714286
var_collapse,low,REN,6.571428571428571
var_collapse,low,KPCA RecError global,7.285714285714286
var_collapse,low,GEN,8.142857142857142
var_collapse,low,PCE,9.428571428571429
var_collapse,low,MSR,9.714285714285714
var_collapse,low,PE,11.142857142857142
var_collapse,low,MLS,12.571428571428571
var_collapse,low,NeCo,13.0
var_collapse,low,GE,14.428571428571429
var_collapse,low,ViM,14.714285714285714
var_collapse,low,Energy,15.428571428571429
var_collapse,low,GradNorm,17.142857142857142
var_collapse,low,Confidence,17.142857142857142
var_collapse,low,PCA RecError global,18.714285714285715
var_collapse,low,pNML,19.285714285714285
var_collapse,low,Maha,21.0
var_collapse,low,Residual,22.0
var_collapse,mid,NNGuide,4.0
var_collapse,mid,GradNorm,6.5
var_collapse,mid,CTMmean,8.0
var_collapse,mid,CTMmeanOC,8.0
var_collapse,mid,NeCo,8.5
var_collapse,mid,fDBD,9.166666666666666
var_collapse,mid,PE,9.666666666666666
var_collapse,mid,Energy,9.666666666666666
var_collapse,mid,MLS,9.666666666666666
var_collapse,mid,PCE,10.666666666666666
var_collapse,mid,GE,11.0
var_collapse,mid,GEN,11.166666666666666
var_collapse,mid,pNML,11.666666666666666
var_collapse,mid,CTM,11.833333333333334
var_collapse,mid,REN,12.333333333333334
var_collapse,mid,MSR,12.5
var_collapse,mid,Confidence,13.666666666666666
var_collapse,mid,PCA RecError global,13.833333333333334
var_collapse,mid,ViM,14.0
var_collapse,mid,KPCA RecError global,14.333333333333334
var_collapse,mid,Maha,21.333333333333332
var_collapse,mid,Residual,21.5
var_collapse,high,Energy,4.0
var_collapse,high,GE,6.142857142857143
var_collapse,high,KPCA RecError global,6.571428571428571
var_collapse,high,NeCo,7.857142857142857
var_collapse,high,CTM,8.571428571428571
var_collapse,high,NNGuide,8.571428571428571
var_collapse,high,MLS,8.857142857142858
var_collapse,high,CTMmean,9.0
var_collapse,high,ViM,9.285714285714286
var_collapse,high,CTMmeanOC,9.428571428571429
var_collapse,high,pNML,10.0
var_collapse,high,fDBD,10.428571428571429
var_collapse,high,PE,10.714285714285714
