nc_metric,ood_set,clip_fid,low,mid,high
var_collapse,cifar100,0.19080717366812822,CTM,"Energy, MLS, NNGuide, NeCo","Energy, GE, MLS, NNGuide, NeCo"
var_collapse,cifar10,0.2171741844853313,"CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD","MSR, PCE","Confidence, GradNorm, MLS, NeCo, PE, REN"
var_collapse,tinyimagenet,0.25916467614357813,"CTM, CTMmean, CTMmeanOC, ViM, fDBD","Energy, GradNorm, MLS, NNGuide, NeCo, pNML","Energy, GE, MLS, NeCo, PE"
var_collapse,isun,0.40957509267432773,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","Energy, GradNorm, MLS, NNGuide, NeCo, fDBD, pNML","Energy, GE, MLS, NNGuide, NeCo, PE, pNML"
var_collapse,lsun resize,0.44339047660145725,"CTM, CTMmean, CTMmeanOC","CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, MLS, NNGuide, NeCo, fDBD, pNML","Energy, GE, MLS, NeCo"
var_collapse,lsun cropped,0.452894850417105,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, REN, fDBD","CTMmeanOC, Confidence, GradNorm, NNGuide","Confidence, Energy, GE"
var_collapse,places365,0.5321273594354652,"CTM, NNGuide, REN, fDBD","CTMmean, CTMmeanOC, Energy, GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, NNGuide, NeCo, PCE, PE, REN, fDBD, pNML","CTMmean, CTMmeanOC, Confidence, Energy, GE, GradNorm, KPCA RecError global, NNGuide, NeCo, ViM, fDBD, pNML"
var_collapse,textures,0.5468303877588535,"CTMmean, CTMmeanOC","CTMmean, CTMmeanOC, KPCA RecError global, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, REN, ViM, fDBD"
var_collapse,svhn,0.6846676149471842,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD","CTM, CTMmean, CTMmeanOC, Energy, GEN, MLS, MSR, NNGuide, NeCo, PCE, PE, REN, fDBD","CTM, CTMmean, CTMmeanOC, GEN, KPCA RecError global, MSR, NNGuide, PCE, REN, ViM, fDBD"
cdnv_score,cifar100,0.19080717366812822,"Energy, MLS, NNGuide, NeCo",,CTM
cdnv_score,cifar10,0.2171741844853313,"Confidence, GE, GEN, GradNorm, MLS, MSR, NeCo, PCE, PE, REN","GEN, MLS, MSR, NeCo, PCE, PE, REN","CTM, CTMmean, CTMmeanOC, GEN, NNGuide, fDBD"
cdnv_score,tinyimagenet,0.25916467614357813,"Energy, GE, GradNorm, MLS, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, REN, ViM, fDBD, pNML","CTM, CTMmean, CTMmeanOC, GradNorm, NNGuide, PCA RecError global, ViM, fDBD, pNML"
cdnv_score,isun,0.40957509267432773,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, ViM, fDBD, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
cdnv_score,lsun resize,0.44339047660145725,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PCA RecError global, PE, ViM, fDBD, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
cdnv_score,lsun cropped,0.452894850417105,"Confidence, Energy, NeCo","CTMmean, CTMmeanOC, Confidence, GradNorm, KPCA RecError global, REN, fDBD","CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, REN, fDBD"
cdnv_score,places365,0.5321273594354652,"Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, pNML","CTMmean, CTMmeanOC, REN, fDBD","CTM, NNGuide, REN, fDBD"
cdnv_score,textures,0.5468303877588535,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, ViM, fDBD","CTMmean, CTMmeanOC"
cdnv_score,svhn,0.6846676149471842,"CTMmean, CTMmeanOC, Confidence, Energy, GE, GEN, GradNorm, MLS, MSR, NNGuide, NeCo, PCE, REN","CTM, CTMmean, CTMmeanOC, KPCA RecError global, ViM, fDBD","CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD"
bias_collapse,cifar100,0.19080717366812822,"Energy, MLS, NNGuide, NeCo",CTM,"CTM, fDBD"
bias_collapse,cifar10,0.2171741844853313,"Confidence, GE, GEN, GradNorm, MLS, MSR, NeCo, PCE, PE, REN","CTM, CTMmean, CTMmeanOC, Confidence, GEN, KPCA RecError global, MLS, MSR, NeCo, PE, REN, fDBD","GEN, MSR, NNGuide, PCE, PE, fDBD"
bias_collapse,tinyimagenet,0.25916467614357813,"Energy, GE, GradNorm, MLS, NeCo","Energy, GE, MLS, NeCo, PE, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
bias_collapse,isun,0.40957509267432773,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, GEN, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, fDBD, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
bias_collapse,lsun resize,0.44339047660145725,"Energy, GE, MLS, NNGuide, NeCo",,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
bias_collapse,lsun cropped,0.452894850417105,"Confidence, Energy, NeCo","CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD","CTMmean, CTMmeanOC, Confidence, GradNorm, KPCA RecError global, NNGuide, REN, fDBD"
bias_collapse,places365,0.5321273594354652,"Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, pNML","CTM, CTMmean, CTMmeanOC, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, fDBD","REN, fDBD"
bias_collapse,textures,0.5468303877588535,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTMmean, CTMmeanOC"
bias_collapse,svhn,0.6846676149471842,"CTMmean, CTMmeanOC, Confidence, Energy, GE, GEN, GradNorm, MLS, MSR, NNGuide, NeCo, PCE, REN","CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD","CTM, CTMmean, CTMmeanOC, fDBD"
equiangular_uc,cifar100,0.19080717366812822,"Energy, GE, MLS, NNGuide, NeCo","CTM, fDBD",
equiangular_uc,cifar10,0.2171741844853313,"CTM, CTMmeanOC","CTM, CTMmeanOC, GEN, MSR, NNGuide, PCE, PE, REN, fDBD","Confidence, GEN, GradNorm, MLS, MSR, NeCo, PE, REN"
equiangular_uc,tinyimagenet,0.25916467614357813,"Confidence, Energy, MLS, NeCo","CTM, CTMmean, CTMmeanOC, NNGuide, ViM, fDBD","CTM, Energy, GE, GradNorm, MLS, NeCo, PE, REN, pNML"
equiangular_uc,isun,0.40957509267432773,"Confidence, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, ViM, fDBD, pNML"
equiangular_uc,lsun resize,0.44339047660145725,"Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, ViM, pNML"
equiangular_uc,lsun cropped,0.452894850417105,"CTM, Confidence, Energy, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Confidence, GEN, KPCA RecError global, NNGuide, REN, fDBD","CTMmean, Confidence, Energy, GE, GradNorm, KPCA RecError global, fDBD"
equiangular_uc,places365,0.5321273594354652,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmeanOC, GEN, NNGuide, REN, fDBD","CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, fDBD"
equiangular_uc,textures,0.5468303877588535,"Energy, MLS, NNGuide, NeCo","CTMmean, CTMmeanOC","CTM, CTMmean, ViM"
equiangular_uc,svhn,0.6846676149471842,"CTMmeanOC, Confidence, Energy, GE, MLS, NNGuide, NeCo, PCE, PE, REN","CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD","CTM, CTMmean, CTMmeanOC, KPCA RecError global, ViM, fDBD"
equiangular_wc,cifar100,0.19080717366812822,CTM,,"Energy, MLS, NNGuide, NeCo"
equiangular_wc,cifar10,0.2171741844853313,"CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD","GEN, MLS, MSR, NeCo, PCE, PE, REN","Confidence, GradNorm, MLS, NeCo, PE"
equiangular_wc,tinyimagenet,0.25916467614357813,"CTM, CTMmean, CTMmeanOC, ViM, fDBD","CTM, CTMmeanOC, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, pNML","Energy, GE, MLS, NeCo"
equiangular_wc,isun,0.40957509267432773,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, CTMmean, GradNorm, NNGuide, ViM, fDBD, pNML","Energy, GE, MLS, NeCo, pNML"
equiangular_wc,lsun resize,0.44339047660145725,"CTM, CTMmean, CTMmeanOC","CTM, CTMmean, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, ViM, fDBD, pNML","Energy, GE, MLS, NeCo"
equiangular_wc,lsun cropped,0.452894850417105,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, REN, fDBD","CTMmean, CTMmeanOC, Confidence, GradNorm, KPCA RecError global, fDBD","Energy, MLS, NeCo"
equiangular_wc,places365,0.5321273594354652,"CTM, NNGuide, REN, fDBD","CTMmean, CTMmeanOC, NNGuide, fDBD","Energy, GE, GradNorm, MLS, NeCo, pNML"
equiangular_wc,textures,0.5468303877588535,"CTMmean, CTMmeanOC","CTM, CTMmean, CTMmeanOC, ViM, fDBD","CTMmeanOC, Energy, GE, MLS, NNGuide, NeCo"
equiangular_wc,svhn,0.6846676149471842,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD","CTM, CTMmean, CTMmeanOC, KPCA RecError global, ViM, fDBD","CTMmean, CTMmeanOC, Confidence, Energy, GE, GEN, GradNorm, MLS, MSR, NNGuide, NeCo, PCE, PE, REN"
equinorm_uc,cifar100,0.19080717366812822,"Energy, GE, MLS, NNGuide, NeCo",CTM,
equinorm_uc,cifar10,0.2171741844853313,"CTM, CTMmeanOC","CTM, CTMmean, CTMmeanOC, GEN, GradNorm, KPCA RecError global, MLS, MSR, NeCo, PE, REN, fDBD","GEN, MSR, PCE, PE"
equinorm_uc,tinyimagenet,0.25916467614357813,"Confidence, Energy, MLS, NeCo","CTM, Energy, GE, MLS, NeCo, PE, pNML","CTM, CTMmean, CTMmeanOC, GradNorm, fDBD, pNML"
equinorm_uc,isun,0.40957509267432773,"Confidence, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, fDBD","CTM, CTMmeanOC, Energy, GE, MLS, NNGuide, NeCo, PE, REN, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, ViM, fDBD, pNML"
equinorm_uc,lsun resize,0.44339047660145725,"Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PE, fDBD","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, fDBD, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, ViM, fDBD, pNML"
equinorm_uc,lsun cropped,0.452894850417105,"CTM, Confidence, Energy, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD","CTMmean, CTMmeanOC, Confidence, GradNorm, KPCA RecError global, fDBD"
equinorm_uc,places365,0.5321273594354652,"Energy, GE, GradNorm, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, fDBD","CTMmean, CTMmeanOC, fDBD"
equinorm_uc,textures,0.5468303877588535,"Energy, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTMmean, CTMmeanOC, ViM"
equinorm_uc,svhn,0.6846676149471842,"CTMmeanOC, Confidence, Energy, MLS, NNGuide, NeCo, PCE, PE, REN","CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD","CTM, CTMmean, CTMmeanOC, ViM, fDBD"
equinorm_wc,cifar100,0.19080717366812822,"CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, NNGuide, NeCo, REN","CTMmeanOC, Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo",
equinorm_wc,cifar10,0.2171741844853313,CTM,"CTM, Confidence, GEN, GradNorm, MLS, MSR, NeCo, PCE, PE, REN","GEN, MLS, MSR, NeCo, PCE, PE"
equinorm_wc,tinyimagenet,0.25916467614357813,"Confidence, Energy, MLS, NNGuide, NeCo","Energy, GE, GradNorm, MLS, NeCo, PE","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD, pNML"
equinorm_wc,isun,0.40957509267432773,"CTM, CTMmean, CTMmeanOC, Energy, MLS, NNGuide, NeCo, fDBD","Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PE","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD, pNML"
equinorm_wc,lsun resize,0.44339047660145725,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, MLS, NNGuide, NeCo, fDBD","Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE","CTM, CTMmean, CTMmeanOC, NNGuide, ViM, fDBD, pNML"
equinorm_wc,lsun cropped,0.452894850417105,"CTM, CTMmean, CTMmeanOC, Confidence, KPCA RecError global, MLS, NNGuide, NeCo, fDBD","CTM, Confidence, Energy, GE, KPCA RecError global, MLS, NeCo, PE, fDBD","CTMmean, Confidence, GradNorm, KPCA RecError global, fDBD"
equinorm_wc,places365,0.5321273594354652,"Energy, MLS, NNGuide, NeCo, PE, REN","CTMmean, CTMmeanOC, Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, ViM, fDBD, pNML","CTMmean, CTMmeanOC, REN, fDBD"
equinorm_wc,textures,0.5468303877588535,"CTMmean, CTMmeanOC, MLS, NNGuide, NeCo, REN","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, NNGuide, NeCo, PCE, REN, ViM, fDBD","CTMmean, CTMmeanOC, ViM"
equinorm_wc,svhn,0.6846676149471842,"CTM, CTMmean, CTMmeanOC, Confidence, GEN, KPCA RecError global, MLS, NNGuide, NeCo, REN, fDBD","CTM, CTMmean, CTMmeanOC, Energy, GE, GEN, KPCA RecError global, MLS, MSR, NNGuide, NeCo, PCE, PE, REN, ViM, fDBD","CTM, CTMmean, CTMmeanOC, ViM, fDBD"
max_equiangular_uc,cifar100,0.19080717366812822,"Energy, GE, MLS, NNGuide, NeCo","CTM, fDBD",
max_equiangular_uc,cifar10,0.2171741844853313,"CTM, CTMmeanOC","CTM, CTMmeanOC, GEN, MSR, NNGuide, PCE, PE, REN, fDBD","Confidence, GEN, GradNorm, MLS, MSR, NeCo, PE, REN"
max_equiangular_uc,tinyimagenet,0.25916467614357813,"Confidence, Energy, MLS, NeCo","CTM, CTMmean, CTMmeanOC, NNGuide, ViM, fDBD","CTM, Energy, GE, GradNorm, MLS, NeCo, PE, REN, pNML"
