ood_set,avg_clip_fid,low,mid,high
cifar100,0.19080717366812822,"GE, PE",,"PCA RecError global, ViM, pNML"
cifar10,0.2171741844853313,"Energy, GE, MLS, NNGuide, NeCo, PCE, PE","CTM, Energy, GE, MLS, NNGuide, NeCo","GE, MLS, NNGuide, PCE, PE"
tinyimagenet,0.25916467614357813,"CTMmeanOC, KPCA RecError global, Maha, PCA RecError global, Residual, ViM, fDBD, pNML","Maha, Residual, ViM, pNML","Residual, ViM, pNML"
isun,0.40957509267432773,"GE, GEN, GradNorm, KPCA RecError global, MSR, PCE, PE, REN","CTMmeanOC, KPCA RecError global, Maha, Residual, ViM","CTMmean, CTMmeanOC, KPCA RecError global, PCA RecError global, Residual, ViM, pNML"
lsun resize,0.44339047660145725,"GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, PCE, PE, REN","KPCA RecError global, Maha, Residual, ViM, fDBD","CTMmean, CTMmeanOC, KPCA RecError global, PCA RecError global, Residual, ViM, pNML"
lsun cropped,0.452894850417105,GradNorm,"GradNorm, KPCA RecError global","CTMmeanOC, KPCA RecError global, NNGuide"
places365,0.5321273594354652,"Maha, Residual, pNML","Maha, Residual, ViM, pNML","Residual, pNML"
textures,0.5468303877588535,"Maha, Residual, ViM, pNML","Maha, Residual, ViM, pNML","PCA RecError global, Residual, ViM, pNML"
svhn,0.6846676149471842,"Energy, GE, GradNorm, KPCA RecError global, MLS","GradNorm, KPCA RecError global","CTMmean, CTMmeanOC, KPCA RecError global, NNGuide"
