ood_set,avg_clip_fid,low,mid,high
cifar100,0.19080717366812822,"GE, PE",,"PCA RecError global, ViM, pNML"
cifar10,0.2171741844853313,"Energy, GE, MLS, NeCo, PE","CTM, Energy, GE, MLS, NNGuide, NeCo, PE",
tinyimagenet,0.25916467614357813,"Residual, ViM","Maha, Residual, ViM, pNML","PCA RecError global, Residual, ViM, pNML"
isun,0.40957509267432773,"GE, GradNorm, KPCA RecError global, PCE, PE, REN","CTMmean, CTMmeanOC, KPCA RecError global, Residual, ViM","KPCA RecError global, PCA RecError global, Residual, ViM, pNML"
lsun resize,0.44339047660145725,"CTM, GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, PCE, PE, REN","CTMmean, CTMmeanOC, KPCA RecError global, REN, Residual, ViM, fDBD","KPCA RecError global, PCA RecError global, Residual, ViM, pNML"
lsun cropped,0.452894850417105,GradNorm,"GradNorm, KPCA RecError global","Energy, KPCA RecError global, MLS, NNGuide"
places365,0.5321273594354652,"Maha, Residual, pNML","Maha, Residual, ViM, pNML","PCA RecError global, Residual, pNML"
textures,0.5468303877588535,"Maha, Residual, ViM, pNML","Maha, Residual, ViM, pNML","PCA RecError global, Residual, ViM, pNML"
svhn,0.6846676149471842,"GE, GradNorm, KPCA RecError global, MLS, PE","CTMmeanOC, GradNorm, KPCA RecError global","CTMmean, CTMmeanOC, KPCA RecError global"
