nc_metric,bin,method,avg_rank
var_collapse,low,CTMmeanOC,2.142857142857143
var_collapse,low,CTM,2.7142857142857144
var_collapse,low,CTMmean,2.857142857142857
var_collapse,low,fDBD,3.2857142857142856
var_collapse,low,NNGuide,5.285714285714286
var_collapse,low,REN,6.142857142857143
var_collapse,low,PCE,9.142857142857142
var_collapse,low,KPCA RecError global,9.285714285714286
var_collapse,low,GEN,9.714285714285714
var_collapse,low,MSR,9.857142857142858
var_collapse,low,PE,10.0
var_collapse,low,MLS,12.142857142857142
var_collapse,low,Confidence,13.714285714285714
var_collapse,low,GE,14.142857142857142
var_collapse,low,NeCo,14.285714285714286
var_collapse,low,Energy,14.285714285714286
var_collapse,low,GradNorm,15.285714285714286
var_collapse,low,ViM,17.142857142857142
var_collapse,low,PCA RecError global,19.285714285714285
var_collapse,low,pNML,19.571428571428573
var_collapse,low,Maha,20.714285714285715
var_collapse,low,Residual,22.0
var_collapse,mid,Confidence,3.5
var_collapse,mid,CTM,6.166666666666667
var_collapse,mid,PE,6.166666666666667
var_collapse,mid,NNGuide,6.833333333333333
var_collapse,mid,CTMmeanOC,8.166666666666666
var_collapse,mid,fDBD,8.5
var_collapse,mid,REN,9.333333333333334
var_collapse,mid,PCE,9.333333333333334
var_collapse,mid,CTMmean,9.833333333333334
var_collapse,mid,ViM,10.0
var_collapse,mid,KPCA RecError global,10.5
var_collapse,mid,GE,11.0
var_collapse,mid,Energy,11.166666666666666
var_collapse,mid,MLS,11.5
var_collapse,mid,MSR,12.333333333333334
var_collapse,mid,GEN,12.333333333333334
var_collapse,mid,NeCo,13.166666666666666
var_collapse,mid,Maha,14.333333333333334
var_collapse,mid,GradNorm,17.666666666666668
var_collapse,mid,PCA RecError global,20.166666666666668
var_collapse,mid,Residual,20.333333333333332
var_collapse,mid,pNML,20.666666666666668
var_collapse,high,CTM,4.142857142857143
var_collapse,high,ViM,4.714285714285714
var_collapse,high,Maha,5.714285714285714
var_collapse,high,Energy,6.142857142857143
var_collapse,high,GE,8.285714285714286
var_collapse,high,MLS,9.714285714285714
var_collapse,high,Residual,10.142857142857142
var_collapse,high,pNML,10.142857142857142
var_collapse,high,PE,10.714285714285714
var_collapse,high,NeCo,10.857142857142858
var_collapse,high,fDBD,11.0
var_collapse,high,KPCA RecError global,11.428571428571429
var_collapse,high,NNGuide,11.428571428571429
var_collapse,high,CTMmean,12.571428571428571
var_collapse,high,Confidence,13.0
var_collapse,high,CTMmeanOC,13.0
var_collapse,high,REN,14.0
var_collapse,high,PCE,14.142857142857142
var_collapse,high,GEN,15.857142857142858
var_collapse,high,MSR,16.714285714285715
var_collapse,high,GradNorm,17.857142857142858
var_collapse,high,PCA RecError global,21.428571428571427
cdnv_score,low,CTM,2.142857142857143
cdnv_score,low,Confidence,5.714285714285714
cdnv_score,low,ViM,6.571428571428571
cdnv_score,low,Energy,6.571428571428571
cdnv_score,low,PE,7.428571428571429
cdnv_score,low,Maha,8.0
cdnv_score,low,GE,9.0
cdnv_score,low,NNGuide,10.142857142857142
cdnv_score,low,KPCA RecError global,10.285714285714286
cdnv_score,low,MLS,10.285714285714286
cdnv_score,low,PCE,10.857142857142858
cdnv_score,low,REN,11.0
cdnv_score,low,fDBD,12.0
cdnv_score,low,GEN,13.142857142857142
cdnv_score,low,MSR,13.714285714285714
cdnv_score,low,NeCo,14.0
cdnv_score,low,CTMmeanOC,14.0
cdnv_score,low,CTMmean,14.571428571428571
cdnv_score,low,Residual,16.142857142857142
cdnv_score,low,pNML,16.857142857142858
cdnv_score,low,GradNorm,19.428571428571427
cdnv_score,low,PCA RecError global,21.142857142857142
