ood_set,avg_clip_fid,low,mid,high
cifar100,0.19080717366812822,"Energy, MLS, NNGuide, NeCo",,CTM
cifar10,0.2171741844853313,"Confidence, GE, GEN, GradNorm, MLS, MSR, NeCo, PCE, PE, REN","GEN, MLS, MSR, NeCo, PCE, PE, REN","CTM, CTMmean, CTMmeanOC, GEN, NNGuide, fDBD"
tinyimagenet,0.25916467614357813,"Energy, GE, GradNorm, MLS, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE, REN, ViM, fDBD, pNML","CTM, CTMmean, CTMmeanOC, GradNorm, NNGuide, PCA RecError global, ViM, fDBD, pNML"
isun,0.40957509267432773,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PE, REN, ViM, fDBD, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
lsun resize,0.44339047660145725,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PCA RecError global, PE, ViM, fDBD, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
lsun cropped,0.452894850417105,"Confidence, Energy, NeCo","CTMmean, CTMmeanOC, Confidence, GradNorm, KPCA RecError global, REN, fDBD","CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, REN, fDBD"
places365,0.5321273594354652,"Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, pNML","CTMmean, CTMmeanOC, REN, fDBD","CTM, NNGuide, REN, fDBD"
textures,0.5468303877588535,"Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, ViM, fDBD","CTMmean, CTMmeanOC"
svhn,0.6846676149471842,"CTMmean, CTMmeanOC, Confidence, Energy, GE, GEN, GradNorm, MLS, MSR, NNGuide, NeCo, PCE, REN","CTM, CTMmean, CTMmeanOC, KPCA RecError global, ViM, fDBD","CTM, CTMmean, CTMmeanOC, KPCA RecError global, fDBD"
