nc_metric,ood_set,clip_fid,low,mid,high
self_duality,isun,0.40957509267432773,"KPCA RecError global, Residual, ViM, pNML","CTMmeanOC, KPCA RecError global, Residual, ViM","GE, GEN, GradNorm, KPCA RecError global, MSR, PCE, PE, REN"
self_duality,lsun resize,0.44339047660145725,"CTMmeanOC, KPCA RecError global, Residual, ViM","CTMmeanOC, KPCA RecError global, Maha, REN, Residual, ViM, fDBD","GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, PCE, PE, REN"
self_duality,lsun cropped,0.452894850417105,"Energy, KPCA RecError global, MLS, NNGuide","GradNorm, KPCA RecError global",GradNorm
self_duality,places365,0.5321273594354652,"Residual, ViM, pNML","Maha, Residual, ViM, pNML","Maha, Residual, pNML"
self_duality,textures,0.5468303877588535,"Residual, ViM, pNML","Maha, Residual, ViM, pNML","Maha, PCA RecError global, Residual, ViM, pNML"
self_duality,svhn,0.6846676149471842,"CTMmean, CTMmeanOC, KPCA RecError global","CTMmeanOC, GradNorm, KPCA RecError global","GE, GradNorm"
w_etf_diff,cifar100,0.19080717366812822,"PCA RecError global, ViM, pNML","PCA RecError global, ViM, pNML","GE, PE"
w_etf_diff,cifar10,0.2171741844853313,"GE, MLS, NNGuide","CTM, Energy, GE, NeCo, ViM","Energy, GE, MLS, NeCo, PE"
w_etf_diff,tinyimagenet,0.25916467614357813,"Maha, PCA RecError global, Residual, ViM, pNML","Maha, PCA RecError global, Residual, ViM, pNML","Maha, PCA RecError global, Residual, ViM, pNML"
w_etf_diff,isun,0.40957509267432773,"CTMmean, CTMmeanOC, KPCA RecError global, Residual, ViM, pNML","CTMmeanOC, KPCA RecError global, Maha, Residual, ViM, fDBD","GE, GradNorm, KPCA RecError global, PCE, PE, REN"
