nc_metric,bin,ood_set,clip_fid,method,avg_rank
var_collapse,low,cifar100,0.19080717366812822,CTM,1.0
var_collapse,low,cifar100,0.19080717366812822,CTMmeanOC,2.4
var_collapse,low,cifar100,0.19080717366812822,fDBD,3.6
var_collapse,low,cifar100,0.19080717366812822,CTMmean,3.8
var_collapse,low,cifar100,0.19080717366812822,NNGuide,4.4
var_collapse,low,cifar100,0.19080717366812822,REN,6.4
var_collapse,low,cifar100,0.19080717366812822,GEN,7.0
var_collapse,low,cifar100,0.19080717366812822,MSR,8.8
var_collapse,low,cifar100,0.19080717366812822,PCE,9.4
var_collapse,low,cifar100,0.19080717366812822,KPCA RecError global,10.0
var_collapse,low,cifar100,0.19080717366812822,PE,10.6
var_collapse,low,cifar100,0.19080717366812822,MLS,11.6
var_collapse,low,cifar100,0.19080717366812822,Energy,13.8
var_collapse,low,cifar100,0.19080717366812822,NeCo,13.8
var_collapse,low,cifar100,0.19080717366812822,GE,14.0
var_collapse,low,cifar100,0.19080717366812822,Confidence,15.4
var_collapse,low,cifar100,0.19080717366812822,GradNorm,17.0
var_collapse,low,cifar100,0.19080717366812822,ViM,18.8
var_collapse,low,cifar100,0.19080717366812822,pNML,19.0
var_collapse,low,cifar100,0.19080717366812822,PCA RecError global,19.2
var_collapse,low,cifar100,0.19080717366812822,Maha,21.0
var_collapse,low,cifar100,0.19080717366812822,Residual,22.0
var_collapse,low,cifar10,0.2171741844853313,CTMmeanOC,3.7142857142857144
var_collapse,low,cifar10,0.2171741844853313,fDBD,4.857142857142857
var_collapse,low,cifar10,0.2171741844853313,CTM,5.428571428571429
var_collapse,low,cifar10,0.2171741844853313,REN,5.571428571428571
var_collapse,low,cifar10,0.2171741844853313,NNGuide,6.428571428571429
var_collapse,low,cifar10,0.2171741844853313,CTMmean,7.0
var_collapse,low,cifar10,0.2171741844853313,PCE,7.0
var_collapse,low,cifar10,0.2171741844853313,GEN,7.428571428571429
var_collapse,low,cifar10,0.2171741844853313,MSR,7.571428571428571
var_collapse,low,cifar10,0.2171741844853313,PE,8.857142857142858
var_collapse,low,cifar10,0.2171741844853313,KPCA RecError global,9.714285714285714
var_collapse,low,cifar10,0.2171741844853313,MLS,10.714285714285714
var_collapse,low,cifar10,0.2171741844853313,NeCo,12.0
var_collapse,low,cifar10,0.2171741844853313,Energy,13.285714285714286
var_collapse,low,cifar10,0.2171741844853313,GE,13.285714285714286
var_collapse,low,cifar10,0.2171741844853313,Confidence,15.0
var_collapse,low,cifar10,0.2171741844853313,GradNorm,15.285714285714286
var_collapse,low,cifar10,0.2171741844853313,ViM,18.714285714285715
var_collapse,low,cifar10,0.2171741844853313,PCA RecError global,19.142857142857142
var_collapse,low,cifar10,0.2171741844853313,pNML,19.428571428571427
var_collapse,low,cifar10,0.2171741844853313,Maha,20.571428571428573
var_collapse,low,cifar10,0.2171741844853313,Residual,22.0
var_collapse,low,tinyimagenet,0.25916467614357813,CTM,2.5
var_collapse,low,tinyimagenet,0.25916467614357813,CTMmean,3.5
var_collapse,low,tinyimagenet,0.25916467614357813,GradNorm,3.5
var_collapse,low,tinyimagenet,0.25916467614357813,fDBD,5.5
var_collapse,low,tinyimagenet,0.25916467614357813,CTMmeanOC,7.5
var_collapse,low,tinyimagenet,0.25916467614357813,NNGuide,9.0
var_collapse,low,tinyimagenet,0.25916467614357813,NeCo,9.0
var_collapse,low,tinyimagenet,0.25916467614357813,PE,9.5
var_collapse,low,tinyimagenet,0.25916467614357813,REN,10.5
var_collapse,low,tinyimagenet,0.25916467614357813,ViM,10.5
var_collapse,low,tinyimagenet,0.25916467614357813,KPCA RecError global,10.5
var_collapse,low,tinyimagenet,0.25916467614357813,MLS,12.0
var_collapse,low,tinyimagenet,0.25916467614357813,PCE,12.5
var_collapse,low,tinyimagenet,0.25916467614357813,pNML,13.0
var_collapse,low,tinyimagenet,0.25916467614357813,GE,14.0
var_collapse,low,tinyimagenet,0.25916467614357813,MSR,14.0
var_collapse,low,tinyimagenet,0.25916467614357813,Confidence,15.0
var_collapse,low,tinyimagenet,0.25916467614357813,Energy,15.0
var_collapse,low,tinyimagenet,0.25916467614357813,PCA RecError global,16.0
var_collapse,low,tinyimagenet,0.25916467614357813,GEN,17.0
var_collapse,low,tinyimagenet,0.25916467614357813,Maha,21.0
var_collapse,low,tinyimagenet,0.25916467614357813,Residual,22.0
var_collapse,low,isun,0.40957509267432773,CTM,1.8571428571428572
var_collapse,low,isun,0.40957509267432773,CTMmean,3.2857142857142856
var_collapse,low,isun,0.40957509267432773,CTMmeanOC,4.0
var_collapse,low,isun,0.40957509267432773,NNGuide,4.285714285714286
var_collapse,low,isun,0.40957509267432773,fDBD,4.714285714285714
var_collapse,low,isun,0.40957509267432773,REN,7.142857142857143
var_collapse,low,isun,0.40957509267432773,KPCA RecError global,9.857142857142858
var_collapse,low,isun,0.40957509267432773,MLS,9.857142857142858
var_collapse,low,isun,0.40957509267432773,GEN,10.285714285714286
var_collapse,low,isun,0.40957509267432773,PE,10.571428571428571
var_collapse,low,isun,0.40957509267432773,PCE,11.142857142857142
var_collapse,low,isun,0.40957509267432773,MSR,12.285714285714286
var_collapse,low,isun,0.40957509267432773,GradNorm,13.714285714285714
var_collapse,low,isun,0.40957509267432773,NeCo,13.714285714285714
