nc_metric,low,mid,high
M_etf_diff,"CTM, Energy, GE, GradNorm, MLS, NNGuide, NeCo, PE","CTM, CTMmean, fDBD","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, fDBD"
bias_collapse,"CTM, Energy, GradNorm, MLS, NNGuide, NeCo, PE","CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, fDBD"
cdnv_score,"Energy, NNGuide","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, NNGuide, NeCo, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
equiangular_uc,"CTM, CTMmean, CTMmeanOC, fDBD","CTM, Energy, KPCA RecError global, MLS, NNGuide, NeCo, PE","Energy, MLS, NNGuide, NeCo"
equiangular_wc,CTM,"CTM, Energy, GradNorm, KPCA RecError global, NNGuide, NeCo","Energy, MLS, NNGuide, NeCo"
equinorm_uc,"CTM, CTMmean, fDBD","CTM, CTMmean, CTMmeanOC, Energy, MLS, NNGuide, NeCo, PE","Energy, MLS, NNGuide, NeCo"
equinorm_wc,"CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, NNGuide, fDBD","CTM, CTMmeanOC, Energy, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, fDBD"
max_equiangular_uc,"CTM, CTMmean, CTMmeanOC, fDBD","CTM, Energy, KPCA RecError global, MLS, NNGuide, NeCo, PE","Energy, MLS, NNGuide, NeCo"
max_equiangular_wc,CTM,"CTM, Energy, KPCA RecError global, NNGuide, fDBD","Energy, MLS, NNGuide, NeCo"
self_duality,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, Energy, KPCA RecError global, MLS, NNGuide, NeCo, PE","Energy, fDBD"
var_collapse,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, NNGuide, NeCo, fDBD","Energy, NNGuide"
wM_etf_diff,"Energy, MLS, NNGuide, NeCo, PE","CTM, CTMmean, CTMmeanOC, fDBD","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, fDBD"
w_etf_diff,"CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, NNGuide, fDBD","Energy, GE, MLS, NNGuide, NeCo","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
