roster,source,eval_dataset,eval_key,n_id,n_ood,kid_mmd2,kid_subset_std,kid_seed_means,kid_seed_std,frechet_clip_distance,fd_eqn_m,fd_eqn_mean,fd_eqn_std,metric_impl
new_shifts,cifar10,kmnist_new,kmnist_new,50000,10000,0.0023061922893963336,1.8488773115141218e-05,"[0.0023074006519183676, 0.0023060000218189814, 0.0023073321469433772, 0.002302865456436978, 0.0023073059861008715, 0.0023072798534389347, 0.002307288183760239, 0.002308899968923388]",1.7687339795222742e-06,0.7314811164423078,10000,0.7327866801691969,0.0002885310351739438,src.clip_utils (deployed)
new_shifts,cifar10,stl10_new,stl10_new,50000,8000,0.0011371602476346876,1.766954350186212e-05,"[0.0011383758984051173, 0.0011342177970511446, 0.0011370610442366757, 0.0011389932501853028, 0.0011400318393955723, 0.0011368200509469695, 0.001140912514343846, 0.0011413003864612836]",2.3750907182423784e-06,0.3002402527634538,8000,0.30265309497645604,0.0016267518764040859,src.clip_utils (deployed)
registered,supercifar100,cifar10,cifar10,38000,10000,0.00018140042367045694,8.186523991042697e-06,"[0.00018291231630803039, 0.00018283246373515638, 0.00018068547433077063, 0.00018117793758112732, 0.00017945571849773857, 0.00018551838871951, 0.00018034196141482716, 0.00018080417129014313]",1.93891001605073e-06,0.17053911684958084,10000,0.17257261581097127,0.0016181680904683012,src.clip_utils (deployed)
registered,supercifar100,tinyimagenet,tinyimagenet,38000,10000,0.0007612518272743251,9.694507614352647e-06,"[0.000760319782940595, 0.0007605823099100117, 0.0007611533238865764, 0.0007596708244270633, 0.0007596122962409701, 0.0007603384163429805, 0.0007622764991019348, 0.0007596593157259246]",9.111766466040409e-07,0.23070524994060196,10000,0.2333407936508208,0.0005623219164956331,src.clip_utils (deployed)
registered,supercifar100,isun,isun,38000,8925,0.0011879033203812828,1.8547071660369056e-05,"[0.0011792117936952628, 0.001180646538834651, 0.0011851622398766093, 0.0011884236914450242, 0.0011835695606189224, 0.0011850312902547788, 0.0011794912113346357, 0.0011839036338966214]",3.1915178334686693e-06,0.3855838966741665,8925,0.388541755335865,0.0009774537871781264,src.clip_utils (deployed)
registered,supercifar100,lsun resize,lsun resize,38000,10000,0.0013029764310972425,2.0419037446675825e-05,"[0.0013046116869585944, 0.001303419025333321, 0.0013099454248559717, 0.0013065074006883303, 0.001308410410188996, 0.0013057699005692314, 0.0013102519299008097, 0.0013030259945919997]",2.8096038936669014e-06,0.42437639972711205,10000,0.42681603284537517,0.00019860766358722028,src.clip_utils (deployed)
registered,supercifar100,lsun cropped,lsun cropped,38000,10000,0.0011330758250010042,2.0662764916905213e-05,"[0.0011320999785872754, 0.0011368904425741989, 0.0011390031052017147, 0.0011378659510875267, 0.0011425623121824823, 0.0011389125500928098, 0.0011372334597704902, 0.001136042532591457]",2.9687907865574177e-06,0.3998921057521108,10000,0.40145994852139405,0.00033565465579723857,src.clip_utils (deployed)
registered,supercifar100,svhn,svhn,38000,26032,0.0017170477249099302,2.8808802910956104e-05,"[0.0017098099321550464, 0.0017133969947120686, 0.001712818900825228, 0.001716411038915151, 0.0017086482894408661, 0.001713152803109832, 0.001712517919683565, 0.00171131931148369]",2.3794371705401775e-06,0.6207963308132673,26032,0.6212416005536449,0.0007358773802362261,src.clip_utils (deployed)
registered,supercifar100,places365,places365,38000,10000,0.0019591820705593312,2.006172618243743e-05,"[0.001954844090420682, 0.001954287825804908, 0.00195427431112293, 0.0019558718500910376, 0.0019568076041892903, 0.0019575154885873225, 0.0019601177507693104, 0.0019520891813520525]",2.4454285072740864e-06,0.5562486451672,10000,0.5600764923003736,0.0006431342915643747,src.clip_utils (deployed)
registered,supercifar100,textures,textures,38000,5640,0.001609389636790972,1.4399154157529053e-05,"[0.0016169599899658938, 0.0016177113808907872, 0.00161719927458436, 0.0016158835992440236, 0.0016139899529351088, 0.001616899230811928, 0.0016132638577297965, 0.0016145864776519136]",1.6627020061639683e-06,0.5245911735563005,5640,0.5287121896459677,0.00011483774534377376,src.clip_utils (deployed)
new_shifts,supercifar100,mnist_new,mnist_new,38000,10000,0.0019818350619906864,1.8308223440824973e-05,"[0.001978802565344573, 0.0019805622065317864, 0.0019801219595754825, 0.0019834877208140967, 0.00198694465072073, 0.001975409460020039, 0.001981457930556294, 0.001981816398689311]",3.3679980024486475e-06,0.7232739516645117,10000,0.724665473848986,0.001222225102385419,src.clip_utils (deployed)
new_shifts,supercifar100,fashionmnist_new,fashionmnist_new,38000,10000,0.0015971946787715031,2.4591116430851907e-05,"[0.0015937825307378174, 0.001592460027051228, 0.0015926265373267868, 0.0016016758271715048, 0.001605512770460873, 0.0016007864482218803, 0.001601622773935185, 0.0015986066307319912]",4.889957988705925e-06,0.6101225054013116,10000,0.6113903782932848,0.0002647682364021091,src.clip_utils (deployed)
new_shifts,supercifar100,kmnist_new,kmnist_new,38000,10000,0.0019534180827708793,1.8803227774230063e-05,"[0.0019523917071979557, 0.0019505510061758535, 0.0019543219080057294, 0.0019548197839257854, 0.0019599179893165708, 0.0019467357368202, 0.001953178432033118, 0.0019540111351967937]",3.7629005562057014e-06,0.6554155739313272,10000,0.6569054331687542,0.0011488393820149646,src.clip_utils (deployed)
new_shifts,supercifar100,stl10_new,stl10_new,38000,8000,0.0014646446525489144,2.009927322696175e-05,"[0.0014630628899697307, 0.0014553757834983383, 0.0014533723010959766, 0.001460522875704644, 0.0014615581727433558, 0.0014675952965218287, 0.0014590706570370405, 0.0014579709591259337]",4.4687978245495415e-06,0.4871771286568647,8000,0.488903622141053,0.0007994034465083232,src.clip_utils (deployed)
registered,cifar100,cifar10,cifar10,50000,10000,0.0001660989768225729,8.301370910131484e-06,"[0.00016333021184938623, 0.0001661162402560379, 0.00016728928540199028, 0.00016570183617457877, 0.0001657376624442719, 0.00016416490358159841, 0.00016634459070735019, 0.00016585987576013927]",1.2521266587344654e-06,0.15898852456068396,10000,0.16060327204478284,0.000392846108394217,src.clip_utils (deployed)
registered,cifar100,tinyimagenet,tinyimagenet,50000,10000,0.0007542847251319618,7.971519947483167e-06,"[0.0007570072070590328, 0.0007546430512543445, 0.0007550116032857446, 0.0007537698464303056, 0.000753805844571458, 0.0007554408713217509, 0.0007533339783952009, 0.0007528055966962998]",1.3466875792219282e-06,0.22347466602335397,10000,0.22558468194625145,0.0007362764712558995,src.clip_utils (deployed)
registered,cifar100,isun,isun,50000,8925,0.0011828549734274319,1.839220591077691e-05,"[0.0011796628811504828, 0.0011730911484757734, 0.0011766480190593942, 0.0011759609102892287, 0.0011773032645682857, 0.0011770947705899814, 0.0011827255291026973, 0.0011771513301020865]",2.7985951150232637e-06,0.38294107545918554,8925,0.38352484956306493,0.001995454653823039,src.clip_utils (deployed)
registered,cifar100,lsun resize,lsun resize,50000,10000,0.0012965941971558247,1.734880493102824e-05,"[0.0013035967936625337, 0.0012957271713012375, 0.001293069903094004, 0.001294206987405806, 0.0012909004799859147, 0.0012986531572465854, 0.0012977885392716892, 0.0012967940801901267]",3.882623973638791e-06,0.42041098353974127,10000,0.4205172151604957,0.0007389202689527213,src.clip_utils (deployed)
registered,cifar100,lsun cropped,lsun cropped,50000,10000,0.0011399808523198996,1.58852635876386e-05,"[0.0011396400736139434, 0.001131592634122729, 0.0011325295165923864, 0.0011323790459541884, 0.00113373108975523, 0.0011408894957197636, 0.0011356082837980174, 0.0011373445838492647]",3.516320990184245e-06,0.39991498053636376,10000,0.40016219015341176,0.0015987598492315318,src.clip_utils (deployed)
registered,cifar100,svhn,svhn,50000,26032,0.0017063464099246594,2.7479832449011693e-05,"[0.0017023192872132854, 0.0017117649206671005, 0.0017109036944506339, 0.0017041080650504982, 0.0017037841595257052, 0.0017070455862356582, 0.0017032126365791721, 0.0017016781616974886]",3.883879684549181e-06,0.6222220751457056,26032,0.6222349799042347,0.0003493157092417008,src.clip_utils (deployed)
registered,cifar100,places365,places365,50000,10000,0.0019294271605819091,1.699586698988809e-05,"[0.001936033132054824, 0.0019351459865932874, 0.001935592366085892, 0.0019355615597897557, 0.0019323741603159928, 0.001932702730463296, 0.0019366883343380347, 0.0019359054695641386]",1.5855485079098506e-06,0.5456193358405279,10000,0.5482441093637385,0.0005371818055457441,src.clip_utils (deployed)
registered,cifar100,textures,textures,50000,5640,0.001611239246181313,1.814504152774748e-05,"[0.0016197187965935188, 0.00161415236250658, 0.0016161559412500902, 0.001614964851364098, 0.001616158115780255, 0.0016127371691225711, 0.0016137163924025266, 0.0016098983847510073]",2.8705085827287235e-06,0.5232133014866338,5640,0.527688889976076,0.001816097559699899,src.clip_utils (deployed)
new_shifts,cifar100,mnist_new,mnist_new,50000,10000,0.0019856013749574154,1.4286444769116861e-05,"[0.00198654113024924, 0.0019815407648935855, 0.0019841385451689854, 0.0019830426624515597, 0.0019821834953697337, 0.00198651886429273, 0.0019820066214133103, 0.0019856777162523278]",2.065298200914374e-06,0.725677189319629,10000,0.7254791321251407,0.001529310183476536,src.clip_utils (deployed)
new_shifts,cifar100,fashionmnist_new,fashionmnist_new,50000,10000,0.0015857061424293572,1.8627359796519218e-05,"[0.0015894367360066042, 0.0015869530063968719, 0.0015883518338895364, 0.0015846508502291813, 0.0015861652943227078, 0.0015887643574284383, 0.0015849102079450983, 0.0015886780277362966]",1.8447758853060353e-06,0.6073005967117076,10000,0.6083079629894405,0.0007996924434830413,src.clip_utils (deployed)
new_shifts,cifar100,kmnist_new,kmnist_new,50000,10000,0.001967266668676748,1.6046134932189864e-05,"[0.001966073421673027, 0.0019647653244064143, 0.001966452187126686, 0.0019627881274065563, 0.0019639095781420223, 0.001968474885866094, 0.0019607884501933624, 0.0019670169083038937]",2.486202490527395e-06,0.6595617522011098,10000,0.6594825095362044,0.0014590708357044972,src.clip_utils (deployed)
new_shifts,cifar100,stl10_new,stl10_new,50000,8000,0.00144821186951571,2.007598882242496e-05,"[0.0014441748854490922, 0.0014400472392023821, 0.0014453288853276014, 0.0014495823483471693, 0.0014431954629189913, 0.0014458890905371025, 0.0014475475904294566, 0.0014403993713485175]",3.2989402663801387e-06,0.4756077647228789,8000,0.4782017780395656,0.0016292227098351976,src.clip_utils (deployed)
registered,tinyimagenet,cifar100,cifar100,100000,10000,0.0007516693069794033,8.661199536517645e-06,"[0.0007512602291928517, 0.0007523665536416235, 0.0007519698771342131, 0.0007515132077725806, 0.0007509864376400532, 0.0007500520194495852, 0.0007495278788615512, 0.0007519279041233063]",9.815865070579232e-07,0.22237680476358668,10000,0.2251072903001594,0.00055254626762984,src.clip_utils (deployed)
registered,tinyimagenet,cifar10,cifar10,100000,10000,0.0009096184758596149,1.140517103931021e-05,"[0.0009107593928156898, 0.0009111505229671124, 0.0009082921229563823, 0.0009102442716764437, 0.0009091120935464936, 0.0009106119560646419, 0.0009079303344711409, 0.000911012788186456]",1.2677751875256668e-06,0.3219948856266305,10000,0.3251470893015743,0.0008327913933160287,src.clip_utils (deployed)
registered,tinyimagenet,isun,isun,100000,8925,0.0011937586510002607,1.780691432713878e-05,"[0.0011924085467379707, 0.0011895048268254094, 0.0011945444824173546, 0.0011912463443821152, 0.0011927401183532283, 0.001193502830299149, 0.0011927028556724029, 0.0011975733665184319]",2.370801626082399e-06,0.3807573778642185,8925,0.38289310247327085,0.0011676582017118436,src.clip_utils (deployed)
registered,tinyimagenet,lsun resize,lsun resize,100000,10000,0.0012654969153723617,2.1845155416498645e-05,"[0.0012684251944892466, 0.0012686858939551637, 0.0012664587954501184, 0.0012639705905780562, 0.0012690285948638103, 0.0012664154807272433, 0.001269008002753731, 0.0012642195015221168]",2.0893651611589097e-06,0.40394928667251195,10000,0.40571603538726436,0.0008929532765667721,src.clip_utils (deployed)
registered,tinyimagenet,lsun cropped,lsun cropped,100000,10000,0.0016101775596473367,2.3567296078576678e-05,"[0.001607352870295884, 0.0016139114743787264, 0.0016131844384438309, 0.0016092920265923106, 0.0016116448373193126, 0.0016069650272373525, 0.0016107767312829946, 0.001606503870126854]",2.8704054562781427e-06,0.49891551850485627,10000,0.5007364006325009,0.0006552412270751734,src.clip_utils (deployed)
registered,tinyimagenet,places365,places365,100000,10000,0.0014101722037589681,1.6811982812499494e-05,"[0.001414404573144612, 0.001416296608689036, 0.0014159872142116025, 0.0014182935774672157, 0.0014168477263274326, 0.0014188043744427859, 0.0014163363805547301, 0.001417176499848871]",1.3758816842805035e-06,0.3887066980708378,10000,0.39266970678411567,0.000916624091195647,src.clip_utils (deployed)
registered,tinyimagenet,textures,textures,100000,5640,0.0014288996039496826,1.7759248536503065e-05,"[0.0014272411123052375, 0.0014269792612131126, 0.0014286068742387936, 0.0014263744560066005, 0.0014254028565079224, 0.0014286641461713323, 0.0014274272822474377, 0.0014296190211054594]",1.3662562580864743e-06,0.4697287252585125,5640,0.47325165105417083,0.0019580118523890343,src.clip_utils (deployed)
registered,tinyimagenet,svhn,svhn,100000,26032,0.0025219231606484448,2.254727544011289e-05,"[0.0025217965235820204, 0.002522527530773262, 0.0025202543874975536, 0.002523843111452546, 0.002527408671030651, 0.0025218654179310373, 0.002523246543586426, 0.0025261012371930215]",2.365378773924928e-06,0.7947685455043522,26032,0.794529126091433,0.00043795938343518326,src.clip_utils (deployed)
new_shifts,tinyimagenet,mnist_new,mnist_new,100000,10000,0.002512019479806913,1.827427302307609e-05,"[0.0025112537746410533, 0.0025159900719887497, 0.0025122607080881386, 0.002509611223810797, 0.002513393213350392, 0.002508720818635082, 0.0025110335701912677, 0.0025110301792347477]",2.2647850002682343e-06,0.8421820038863995,10000,0.8433541233266683,0.0009378813240801362,src.clip_utils (deployed)
new_shifts,tinyimagenet,fashionmnist_new,fashionmnist_new,100000,10000,0.0021478743646906294,2.7989908070923583e-05,"[0.0021485680776220217, 0.002155800160435719, 0.002147707430979846, 0.0021459670434365473, 0.002147897022541354, 0.0021459316895553913, 0.0021455991174508513, 0.002152507637604337]",3.611251095276617e-06,0.7102727356397305,10000,0.7125871284693588,0.0008546685717957073,src.clip_utils (deployed)
new_shifts,tinyimagenet,kmnist_new,kmnist_new,100000,10000,0.00255168261324676,1.554928579528997e-05,"[0.002551669194027699, 0.002555109043140398, 0.002551168500081209, 0.0025495215495188717, 0.002551937234972108, 0.002548409083369254, 0.0025491033244013296, 0.002552338532876419]",2.149060726084957e-06,0.784857760203779,10000,0.7864387023026147,0.0009038609195457112,src.clip_utils (deployed)
new_shifts,tinyimagenet,stl10_new,stl10_new,100000,8000,0.001482408509240063,2.019419136193784e-05,"[0.0014852166151213186, 0.0014873014687202702, 0.0014844039651986751, 0.0014810918541832852, 0.0014799605519826375, 0.0014777342413901451, 0.0014866076984729926, 0.0014853570475306377]",3.440909373962965e-06,0.4603435307756868,8000,0.4646893301924571,0.0012094872306848245,src.clip_utils (deployed)
roster_a,cifar10,cifar100,cifar100,50000,9000,0.0001644632975260496,8.296485715155425e-06,"[0.00016626007022799705, 0.00016553471566198573, 0.00016394880743476393, 0.000164647142603096, 0.0001659952873558268, 0.00016590006529508373, 0.00016591881825521958, 0.0001673099912657161]",1.0199755199487533e-06,0.15946205194362212,9000,0.1628827595089842,0.001321959151234966,src.clip_utils (deployed)
roster_a,cifar10,tin,tin,50000,7793,0.0009480557908906916,1.110410880494377e-05,"[0.0009534627970942822, 0.0009521798361243405, 0.0009539270370453323, 0.0009507791388189801, 0.0009516922757336754, 0.0009504616141104449, 0.0009520078260405107, 0.0009502825664638603]",1.3419056917408383e-06,0.354151457905881,7793,0.35746496416554496,0.0020049722352408783,src.clip_utils (deployed)
roster_a,cifar10,mnist,mnist,50000,70000,0.0023129935465250728,1.894441188181319e-05,"[0.0023116439537529576, 0.0023133161983164997, 0.002316081387211497, 0.0023093728040097174, 0.0023124668660512793, 0.0023109303154243577, 0.0023106351363646914, 0.002313534507216852]",2.087655996561865e-06,0.783037020162508,50000,0.7831427290349904,1.3357526311765594e-05,src.clip_utils (deployed)
roster_a,cifar10,svhn,svhn,50000,26032,0.0020541616258057706,2.9642978116811265e-05,"[0.002050397625408582, 0.0020475771041579714, 0.0020543527384730264, 0.0020534618940916526, 0.0020538738571488136, 0.002053447303351943, 0.002046344577648016, 0.0020554762566674435]",3.366506558852372e-06,0.6801462117210573,26032,0.680029128196507,0.00033164375675773564,src.clip_utils (deployed)
roster_a,cifar10,texture,texture,50000,5640,0.0020048601331510343,1.7141923374491818e-05,"[0.0020086044223697995, 0.002004917332035392, 0.002003850655694155, 0.0020024501136497188, 0.0020051182014304914, 0.0020049847567905044, 0.00200456162877507, 0.0020034097851742414]",1.812806937746121e-06,0.6697888986783527,5640,0.6723108375754254,0.0019382757633072051,src.clip_utils (deployed)
roster_a,cifar10,places365,places365,50000,35195,0.002098801693004697,2.1004303443206273e-05,"[0.0020975814922053714, 0.0020932232886344336, 0.0020978960536693326, 0.0020965600917766734, 0.002095815089954174, 0.0020954197850575973, 0.0020909979826933965, 0.0020955478452848375]",2.287926322965729e-06,0.6490657418897654,35195,0.6492062330676625,0.00035197656673047515,src.clip_utils (deployed)
roster_a,cifar100,cifar10,cifar10,50000,10000,0.0001653455425335082,9.57887982794144e-06,"[0.0001671431455716821, 0.00016590004200213394, 0.00016577798394709297, 0.00016670240045189467, 0.0001644588670931135, 0.0001646215886754554, 0.00016751366952277635, 0.00016537170421610626]",1.1204528101543925e-06,0.158988500376744,10000,0.16100788516663375,0.000935994268307111,src.clip_utils (deployed)
roster_a,cifar100,tin,tin,50000,6526,0.0007610577291005693,7.50641899700683e-06,"[0.0007604047237239708, 0.000760334747474829, 0.0007611694366867727, 0.0007588058587762348, 0.0007597567881525791, 0.0007606413081935237, 0.0007600436584656123, 0.0007606949766691428]",7.167619403417187e-07,0.24124348988422478,6526,0.24494855912411032,0.0010033019526855262,src.clip_utils (deployed)
roster_a,cifar100,mnist,mnist,50000,70000,0.0019384054823179309,2.0219821288689252e-05,"[0.0019318343017623717, 0.0019282736782268817, 0.0019337123925454768, 0.001930677549459574, 0.0019351801243534617, 0.001933789633024432, 0.0019325145000499689, 0.001934331862379981]",2.2451851233510503e-06,0.7074267104290985,50000,0.707522067899942,1.770148122663374e-05,src.clip_utils (deployed)
roster_a,cifar100,svhn,svhn,50000,26032,0.001725676497878501,2.2111977270569216e-05,"[0.001718317647634251, 0.0017211507752564437, 0.001719485318295586, 0.0017219946075989069, 0.0017238234553752817, 0.001721868657178014, 0.0017143965416985551, 0.0017230706372418326]",3.0525658992292074e-06,0.599959929901926,26032,0.5998704861971004,0.0006663678873313732,src.clip_utils (deployed)
roster_a,cifar100,texture,texture,50000,5640,0.0016123006758818814,2.039805268281643e-05,"[0.0016164533446334417, 0.001613939044559114, 0.0016165895043908662, 0.0016125697389283732, 0.001617723388786425, 0.0016138156422718986, 0.0016135320233868987, 0.001612996959476245]",1.925355112131196e-06,0.5232130034103087,5640,0.5274895118093527,0.0020423129526379417,src.clip_utils (deployed)
roster_a,cifar100,places365,places365,50000,33773,0.0019407825695645275,2.116340833600318e-05,"[0.0019380416933122734, 0.0019365073255018217, 0.0019378579685947984, 0.0019395303012133525, 0.001934518972669883, 0.0019340867006456808, 0.0019385791434898359, 0.0019350088620114824]",2.0399881480824016e-06,0.5456901566984678,33773,0.5459160472750823,0.0006048250543272477,src.clip_utils (deployed)
roster_a,imagenet200,ssb_hard,ssb_hard,258951,49000,0.00039641693940033917,9.495560511793378e-06,"[0.0003986059432846023, 0.00039633622414836367, 0.00039557522763238316, 0.0003980468872192944, 0.0003949082650460678, 0.00039659334837620184, 0.0003975960722532967, 0.00039771613341550884]",1.2820812592510219e-06,0.16838915025044915,49000,0.16879206395364724,0.0003643802360209625,src.clip_utils (deployed)
roster_a,imagenet200,ninco,ninco,258951,5879,0.0003643809241217699,1.417898023658308e-05,"[0.00036331158169276455, 0.00035892316869786, 0.00036014618087935266, 0.00035984021714734914, 0.00036522496243496683, 0.00035966929388955295, 0.0003618115921326037, 0.0003565113723647606]",2.7081370424131487e-06,0.23113322834044964,5879,0.23693113221253245,0.0005636423185825931,src.clip_utils (deployed)
roster_a,imagenet200,textures,textures,258951,5160,0.0013245491593355042,2.5274965154943277e-05,"[0.0013187683552998576, 0.0013254528334334203, 0.00133024462003962, 0.0013195831265988645, 0.0013247356945950538, 0.0013244196286740805, 0.0013281814279642212, 0.0013244314146757573]",3.864700908125275e-06,0.49389465724558834,5160,0.5011049778736859,0.0020979767980517645,src.clip_utils (deployed)
roster_a,imagenet200,inaturalist,inaturalist,258951,10000,0.0013610228245060352,2.4793676491332243e-05,"[0.0013671852419206588, 0.0013700512947716526, 0.0013648941360794265, 0.0013653347077240419, 0.0013664800916563101, 0.0013711608108886964, 0.001365205212765863, 0.0013687856345801742]",2.3708332621062946e-06,0.5295601814921197,10000,0.5325267444847464,0.0010259362794551444,src.clip_utils (deployed)
roster_a,imagenet200,openimage_o,openimage_o,258951,15869,0.0007784471196431042,1.9214804377139128e-05,"[0.0007754428114332334, 0.0007755081487966997, 0.0007812785783448906, 0.0007795316605668124, 0.0007827468914073866, 0.0007799502700561333, 0.0007810034234674479, 0.0007795973051298955]",2.631244453553087e-06,0.29967394523964297,15869,0.3015186291038192,0.0009639677138040604,src.clip_utils (deployed)
