roster,source,eval_dataset,eval_key,n_id,n_ood,kid_mmd2,kid_subset_std,kid_seed_means,kid_seed_std,frechet_clip_distance,fd_eqn_m,fd_eqn_mean,fd_eqn_std,metric_impl
registered,cifar10,cifar100,cifar100,50000,10000,0.00016239322891462571,7.269767945040127e-06,"[0.00016665311593786925, 0.000164174238554331, 0.00016610254045240858, 0.00016657894004693753, 0.00016678557421711203, 0.00016793626286961682, 0.0001663120183476785, 0.0001660196730848984]",1.0521353316202441e-06,0.15923754863162337,10000,0.16234263387543357,0.0017176191589728471,src.clip_utils (deployed)
registered,cifar10,tinyimagenet,tinyimagenet,50000,10000,0.0009148970905414355,8.835695714397637e-06,"[0.0009145280179318504, 0.0009131728231297931, 0.0009122424999920575, 0.0009128827055510236, 0.0009138011447421235, 0.0009173201797149311, 0.0009115688651603016, 0.000912484410794745]",1.795684853037387e-06,0.32331413179744983,10000,0.3266238855880126,0.0013671419169130688,src.clip_utils (deployed)
registered,cifar10,isun,isun,50000,8925,0.0015071826002714594,2.2857537544181444e-05,"[0.0015088402781901955, 0.0014993603760774033, 0.0015009174814310544, 0.0015012471027011198, 0.0015030662625973878, 0.001499770126380966, 0.0015051852221484375, 0.0015051896683518074]",3.2677896567315612e-06,0.4890182580519806,8925,0.49172110271085906,0.0024741687308715912,src.clip_utils (deployed)
registered,cifar10,lsun resize,lsun resize,50000,10000,0.0016188686643109928,2.18325043294415e-05,"[0.0016175774128849962, 0.0016209973606571726, 0.0016130787004961622, 0.0016153967965998107, 0.0016164727149711045, 0.0016191380412013067, 0.0016203605842399682, 0.001617424508668508]",2.6216443846971734e-06,0.5248251449398073,10000,0.5270845339825292,0.002260999951397113,src.clip_utils (deployed)
registered,cifar10,lsun cropped,lsun cropped,50000,10000,0.0014954241121996948,1.5303083054148603e-05,"[0.0014893691745868852, 0.0014887489242477337, 0.001489965262541899, 0.001488473335128644, 0.0014956526213102882, 0.0014966364875236239, 0.0014964798893131537, 0.001495092016722257]",3.705157996976381e-06,0.5128567901151346,10000,0.5154782645389869,0.001941854712216314,src.clip_utils (deployed)
registered,cifar10,svhn,svhn,50000,26032,0.0020332093939718996,3.2465263718080713e-05,"[0.0020254746361275445, 0.002036368513594109, 0.0020372489611116596, 0.002030924575966031, 0.0020273492861605734, 0.0020306032177731747, 0.0020326003185191953, 0.002026184695895861]",4.431141548221345e-06,0.7008833930923187,26032,0.7008940380239032,0.0007682392458730122,src.clip_utils (deployed)
registered,cifar10,places365,places365,50000,10000,0.002075925146108615,1.877542349276016e-05,"[0.002073488635310392, 0.0020760613938447035, 0.0020731394249016333, 0.002072897265895337, 0.002070253753089375, 0.002077234703041011, 0.002074004374972791, 0.0020755714281328694]",2.1837567202418566e-06,0.6379347023754489,10000,0.6417810641790319,0.0014298412486695455,src.clip_utils (deployed)
registered,cifar10,textures,textures,50000,5640,0.002005534621497409,1.74076342335654e-05,"[0.00200983762307688, 0.002007597165150683, 0.0020032217828027223, 0.0020028342959353385, 0.0020030505904922702, 0.0020052149197384407, 0.002006227331495616, 0.0020068361702384953]",2.502014671217549e-06,0.6697883921211998,5640,0.675130833167599,0.0008926772519665584,src.clip_utils (deployed)
new_shifts,cifar10,mnist_new,mnist_new,50000,10000,0.0023790867033186025,1.7472440589580968e-05,"[0.002380806821798327, 0.0023765245467788, 0.0023795829809989044, 0.00237622057741949, 0.002379905960762727, 0.002380303156206418, 0.0023814924999997, 0.0023809474651042615]",2.0068399961562723e-06,0.8056820052575828,10000,0.8070675607794127,0.00021600318149891996,src.clip_utils (deployed)
new_shifts,cifar10,fashionmnist_new,fashionmnist_new,50000,10000,0.0018351341969258072,2.2032177825474704e-05,"[0.0018296792570845532, 0.0018342603203866047, 0.0018322145054982196, 0.0018283641579583242, 0.0018323298373522866, 0.001835477764637501, 0.0018343354328449557, 0.001834912322791844]",2.5639434180000947e-06,0.6768860589777171,10000,0.6789457502978884,0.00029905095720397475,src.clip_utils (deployed)
