feature,max_bins,meta_mean_regret,meta_mean_norm_regret,single_mean_regret,single_mean_norm_regret,meta_wins_rate,clique_hit_rate,meta_beats_single
equiangular_wc,4,2.4551620852425917,0.011347027794896165,3.042843783155476,0.015914156289881663,0.2903225806451613,0.08387096774193549,True
self_duality,3,2.473890194887978,0.012887481964086775,3.042843783155476,0.015914156289881663,0.3870967741935484,0.0967741935483871,True
max_equiangular_wc,4,2.7813793861897285,0.013396936310549131,3.042843783155476,0.015914156289881663,0.2903225806451613,0.08387096774193549,True
var_collapse,2,3.042843783155476,0.015914156289881663,3.042843783155476,0.015914156289881663,0.3870967741935484,0.0,False
equinorm_uc,2,3.074713770965599,0.01601775488629919,3.042843783155476,0.015914156289881663,0.3870967741935484,0.0,False
equiangular_uc,2,3.113813690905285,0.016181655749582743,3.042843783155476,0.015914156289881663,0.3870967741935484,0.0,False
self_duality,2,3.3947992716171624,0.016490060730740462,3.042843783155476,0.015914156289881663,0.2903225806451613,0.0967741935483871,False
equiangular_wc,3,3.6762114422838703,0.0170280171595173,3.042843783155476,0.015914156289881663,0.2967741935483871,0.0,False
equiangular_uc,3,3.403973950907805,0.017345549908078465,3.042843783155476,0.015914156289881663,0.3741935483870968,0.0,False
max_equiangular_wc,2,3.5835705126596196,0.01791558668423438,3.042843783155476,0.015914156289881663,0.3870967741935484,0.0,False
equiangular_wc,2,3.5835705126596196,0.01791558668423438,3.042843783155476,0.015914156289881663,0.3870967741935484,0.0,False
self_duality,4,3.6397439413223487,0.017967336989190293,3.042843783155476,0.015914156289881663,0.3870967741935484,0.0967741935483871,False
max_equiangular_wc,3,4.106637047700231,0.019732757562114962,3.042843783155476,0.015914156289881663,0.2967741935483871,0.0,False
equinorm_wc,3,3.7218433381816745,0.019938652223968224,3.042843783155476,0.015914156289881663,0.3548387096774194,0.0,False
max_equiangular_uc,2,4.234289917197237,0.020395321884396307,3.042843783155476,0.015914156289881663,0.3870967741935484,0.0,False
max_equiangular_uc,3,4.524611365104395,0.021589429670455646,3.042843783155476,0.015914156289881663,0.32903225806451614,0.0,False
max_equiangular_uc,4,4.952467618011115,0.024735564841987277,3.042843783155476,0.015914156289881663,0.3032258064516129,0.0,False
equiangular_uc,4,5.7649981104545,0.028567488564607186,3.042843783155476,0.015914156289881663,0.32903225806451614,0.0,False
equinorm_wc,4,5.742280562365635,0.028774300675643714,3.042843783155476,0.015914156289881663,0.25161290322580643,0.0,False
equinorm_wc,2,10.793653908464464,0.05333971562719975,3.042843783155476,0.015914156289881663,0.2903225806451613,0.0,False
equinorm_uc,3,11.685064719483009,0.05643880223124063,3.042843783155476,0.015914156289881663,0.25806451612903225,0.05806451612903226,False
var_collapse,3,12.360495493369356,0.060967397752219606,3.042843783155476,0.015914156289881663,0.32903225806451614,0.0,False
var_collapse,4,14.084757834285162,0.06915458751868034,3.042843783155476,0.015914156289881663,0.3161290322580645,0.0,False
equinorm_uc,4,18.821661788760196,0.09229829984589567,3.042843783155476,0.015914156289881663,0.17419354838709677,0.14838709677419354,False
