held_out,feature,n_bins,splits,bin_methods,meta_mean_regret,meta_mean_norm_regret,single_mean_regret,single_mean_norm_regret,meta_wins_rate,clique_hit_rate,group
cifar10,max_equiangular_uc,4,"[-0.7036358714103699, 0.4119778648018837, 1.4830580949783325]",Maha|CTM|Energy|Maha,3.390678955417786,0.02084782944405433,2.095311357344942,0.012884599555054253,0.13333333333333333,0.2222222222222222,all
cifar100,equinorm_wc,4,"[-0.8739713430404663, 1.0843949913978577, 1.465218424797058]",Residual|CTM|CTM|ViM,4.262054765642683,0.020356755070142143,3.1660018524193885,0.015098418467210988,0.375,0.0,all
supercifar100,var_collapse,4,"[-0.4425329118967056, -0.17254065722227097, 1.428820788860321]",GradNorm|CTM|REN|Maha,3.1305666376370085,0.012251339336746957,0.2520389106609135,0.0009867955151463019,0.375,0.0,all
tinyimagenet,max_equiangular_uc,4,"[-0.9250798523426056, -0.7043284177780151, 1.5808972716331482]",CTMmeanOC|PE|fDBD|pNML,1.8450964666278538,0.00827763023936592,0.0,0.0,0.0,0.5,all
