feature,max_bins,meta_mean_regret,meta_mean_norm_regret,single_mean_regret,single_mean_norm_regret,meta_wins_rate,clique_hit_rate,meta_beats_single
equiangular_uc,2,2.909628336771256,0.012224584938504136,2.909628336771256,0.012224584938504136,0.3870967741935484,0.1935483870967742,False
equinorm_uc,2,2.909628336771256,0.012224584938504136,2.909628336771256,0.012224584938504136,0.3870967741935484,0.1935483870967742,False
max_equiangular_uc,2,2.909628336771256,0.012224584938504136,2.909628336771256,0.012224584938504136,0.3870967741935484,0.1935483870967742,False
self_duality,2,2.909628336771256,0.012224584938504136,2.909628336771256,0.012224584938504136,0.3870967741935484,0.1935483870967742,False
max_equiangular_uc,4,3.054112865271085,0.012708151943116362,2.909628336771256,0.012224584938504136,0.25161290322580643,0.22580645161290322,False
equiangular_wc,4,3.4102824911515475,0.014621337239950679,2.909628336771256,0.012224584938504136,0.32903225806451614,0.27741935483870966,False
equinorm_uc,3,3.4933008997384802,0.014737688788037249,2.909628336771256,0.012224584938504136,0.25806451612903225,0.12258064516129032,False
max_equiangular_wc,2,3.343610533705649,0.01487735269321986,2.909628336771256,0.012224584938504136,0.3870967741935484,0.1935483870967742,False
var_collapse,2,3.675947121772912,0.015281349874089602,2.909628336771256,0.012224584938504136,0.3870967741935484,0.1935483870967742,False
equiangular_wc,2,3.4809786371840734,0.015698934636938874,2.909628336771256,0.012224584938504136,0.3870967741935484,0.1935483870967742,False
equiangular_wc,3,3.814278088400358,0.016357314130670424,2.909628336771256,0.012224584938504136,0.32903225806451614,0.1935483870967742,False
max_equiangular_wc,3,3.8537551084514545,0.01649688112890082,2.909628336771256,0.012224584938504136,0.32903225806451614,0.1935483870967742,False
max_equiangular_uc,3,4.045806401117492,0.017636080632743502,2.909628336771256,0.012224584938504136,0.3032258064516129,0.1935483870967742,False
self_duality,3,3.934782493145101,0.01794411948241016,2.909628336771256,0.012224584938504136,0.2903225806451613,0.1935483870967742,False
equiangular_uc,3,4.265840335301202,0.018462845289887838,2.909628336771256,0.012224584938504136,0.2838709677419355,0.1935483870967742,False
max_equiangular_wc,4,4.844000252286879,0.02199241487281932,2.909628336771256,0.012224584938504136,0.23225806451612904,0.1935483870967742,False
equinorm_wc,2,4.868475814532585,0.022749898106452584,2.909628336771256,0.012224584938504136,0.2645161290322581,0.0967741935483871,False
self_duality,4,5.672667363727297,0.024227218689959314,2.909628336771256,0.012224584938504136,0.3548387096774194,0.25806451612903225,False
equinorm_wc,4,6.941140242238036,0.03162848042163266,2.909628336771256,0.012224584938504136,0.25806451612903225,0.0967741935483871,False
equiangular_uc,4,7.080845633954913,0.033791700514390975,2.909628336771256,0.012224584938504136,0.23225806451612904,0.12903225806451613,False
equinorm_wc,3,7.6670452146904156,0.034707848101113825,2.909628336771256,0.012224584938504136,0.25806451612903225,0.0967741935483871,False
var_collapse,3,9.660745635281947,0.04132930973284637,2.909628336771256,0.012224584938504136,0.3548387096774194,0.1935483870967742,False
var_collapse,4,9.517995006534704,0.042371269361767,2.909628336771256,0.012224584938504136,0.2838709677419355,0.14838709677419354,False
equinorm_uc,4,11.72022337112721,0.052828779005094466,2.909628336771256,0.012224584938504136,0.16774193548387098,0.22580645161290322,False
