feature,mean_iv
equinorm_uc,2.9421059142097574
equiangular_uc,2.4888359363333317
equiangular_wc,2.407041600890558
max_equiangular_uc,2.068315405257563
self_duality,1.8132393955625072
var_collapse,1.706449215442498
equinorm_wc,1.6596536226692231
max_equiangular_wc,1.4836703418150081
