feature,mean_iv
equiangular_uc,2.598489845747021
max_equiangular_uc,2.039535815557608
var_collapse,1.9618151443746006
equinorm_uc,1.9458831540883124
max_equiangular_wc,1.847221106773038
equiangular_wc,1.5758276457865563
self_duality,1.5137263502070752
equinorm_wc,1.5009925982264483
