held_out,feature,n_bins,splits,bin_methods,meta_mean_regret,meta_mean_norm_regret,single_mean_regret,single_mean_norm_regret,meta_wins_rate,clique_hit_rate,group
cifar10,equinorm_uc,4,"[-0.8498060405254364, 0.9381896257400513, 1.609187364578247]",pNML|CTM|Energy|Maha,5.235192803794414,0.0326814875145534,3.855047469739719,0.024227419561845893,0.24444444444444444,0.17777777777777778,near
cifar100,equiangular_uc,4,"[-0.7382313311100006, -0.0249563530087471, 1.5060744881629944]",Residual|CTM|Energy|Confidence,11.372099535976686,0.0554181929615681,2.120437563757586,0.010318983969086645,0.325,0.0,near
supercifar100,equiangular_wc,4,"[-0.5645002126693726, 0.11690668016672134, 1.4100553393363953]",Confidence|CTM|Energy|Maha,2.83227954993016,0.011094294410927217,0.29120344045752516,0.0011332643365249467,0.125,0.325,near
tinyimagenet,self_duality,4,"[-1.128636121749878, -0.8000900447368622, 0.798147588968277]",CTMmeanOC|PE|REN|Energy,5.904686658667074,0.027976957292069154,5.904686658667074,0.027976957292069154,0.5,0.0,near
