group,meta_mean_norm_regret,single_mean_norm_regret,meta_wins_rate,clique_hit_rate
all,0.01736024933800072,0.007242453384352886,0.2618055555555555,0.4861111111111111
far,0.014580665950497836,0.01859949230537751,0.28541666666666665,0.24305555555555555
mid,0.02825815757799833,0.012224584938504134,0.2972222222222222,0.3576388888888889
near,0.022584097692239992,0.01591415628988166,0.30416666666666664,0.0
