feature_set,n_features,kfold_accuracy,kfold_balanced_accuracy,baseline
PCA-2,2,0.7647058823529411,0.7666666666666666,0.5882352941176471
PCA-3,3,0.8235294117647058,0.85,0.5882352941176471
"Top-2 RF (equiangular_wc, bias_collapse)",2,0.8823529411764706,0.8833333333333333,0.5882352941176471
"Top-3 RF (equiangular_wc, bias_collapse, max_equiangular_uc)",3,0.8823529411764706,0.8833333333333333,0.5882352941176471
All 13 (tree),13,0.8823529411764706,0.8833333333333333,0.5882352941176471
All 13 (RF),13,0.8823529411764706,0.8833333333333333,0.5882352941176471
