,PC1,PC2,PC3,feature
var_collapse,-0.08261399319208819,0.4409427970352374,0.181693060015884,var_collapse
cdnv_score,0.22521291310994385,-0.3568391709381601,-0.020919401523119486,cdnv_score
bias_collapse,0.3465025649421904,-0.031629365909478575,0.37110803306295004,bias_collapse
equiangular_uc,0.3179414315326133,0.21406908828424284,-0.010986857221108553,equiangular_uc
equiangular_wc,0.25087246639683924,0.3046573099003068,-0.374939844783589,equiangular_wc
equinorm_uc,0.35052568950317603,0.1026195729327562,0.04476159847055322,equinorm_uc
equinorm_wc,0.3596442952894163,-0.022696075665221794,0.012413025912965963,equinorm_wc
max_equiangular_uc,0.28145136404471804,0.2820275028555214,-0.11775176429561958,max_equiangular_uc
max_equiangular_wc,0.23038393044029337,0.3189812291294848,-0.45438782219696566,max_equiangular_wc
self_duality,0.29409788932763986,0.16112688109204373,0.6449079728838774,self_duality
w_etf_diff,0.24217528474297478,-0.3324962632236133,-0.19753408526121696,w_etf_diff
M_etf_diff,0.2512820216705776,-0.3273290986686651,-0.04740185903057748,M_etf_diff
wM_etf_diff,0.2560806528791636,-0.32031045377538975,-0.09199913426695056,wM_etf_diff
variance_explained,0.592397950024406,0.367803296848049,0.03859227170904979,
cumulative_variance,0.592397950024406,0.960201246872455,0.9987935185815048,
