feature_set,n_features,kfold_accuracy,kfold_balanced_accuracy,baseline
PCA-2,2,0.7222222222222222,0.7395833333333333,0.4444444444444444
PCA-3,3,0.7222222222222222,0.6875,0.4444444444444444
"Top-2 RF (max_equiangular_wc, equinorm_wc)",2,0.6111111111111112,0.53125,0.4444444444444444
"Top-3 RF (max_equiangular_wc, equinorm_wc, self_duality)",3,0.7777777777777778,0.6875,0.4444444444444444
All 13 (tree),13,0.6666666666666666,0.59375,0.4444444444444444
All 13 (RF),13,0.7777777777777778,0.71875,0.4444444444444444
