,PC1,PC2,PC3,feature
var_collapse,-0.129447200141213,0.41904515608444404,-0.1417033952951947,var_collapse
cdnv_score,0.34251810607059335,-0.17573722602806785,0.04206671608982073,cdnv_score
bias_collapse,0.34553849029209843,0.13846468702472467,-0.21921581373710533,bias_collapse
equiangular_uc,0.30668607332665376,0.2536621736688643,0.0181335399807721,equiangular_uc
equiangular_wc,-0.1070500364073318,0.3744812661260772,0.5254554599510219,equiangular_wc
equinorm_uc,0.36770884057291536,0.05243016988703593,0.0632749122210316,equinorm_uc
equinorm_wc,0.321196322822629,0.1266136788553172,-0.4445735374541993,equinorm_wc
max_equiangular_uc,0.26696886704829453,0.3073059609274395,0.07958658987527205,max_equiangular_uc
max_equiangular_wc,0.06962345608519466,0.39910870536121484,0.46078711742006784,max_equiangular_wc
self_duality,0.2466693818680339,0.3255552215453238,-0.22180180569045269,self_duality
w_etf_diff,0.2667632388902113,-0.29099291581683306,0.2989181756364264,w_etf_diff
M_etf_diff,0.31942352553621284,-0.21849145414057,0.1965254105291595,M_etf_diff
wM_etf_diff,0.30409767208554717,-0.2426069751670278,0.23703208473925477,wM_etf_diff
variance_explained,0.5540328285063135,0.37575206239861864,0.06333508843217149,
cumulative_variance,0.5540328285063135,0.9297848909049322,0.9931199793371037,
