feature_set,n_features,kfold_accuracy,kfold_balanced_accuracy,baseline
PCA-2,2,0.7368421052631579,0.5416666666666666,0.47368421052631576
PCA-3,3,0.631578947368421,0.47222222222222215,0.47368421052631576
"Top-2 RF (equiangular_wc, max_equiangular_wc)",2,0.7368421052631579,0.6759259259259259,0.47368421052631576
"Top-3 RF (equiangular_wc, max_equiangular_wc, var_collapse)",3,0.6842105263157895,0.5092592592592592,0.47368421052631576
All 13 (tree),13,0.631578947368421,0.5925925925925926,0.47368421052631576
All 13 (RF),13,0.6842105263157895,0.5092592592592592,0.47368421052631576
