,PC1,PC2,PC3,feature
var_collapse,-0.11295777621071945,0.4214058447048274,0.17152102999858349,var_collapse
cdnv_score,0.2728900239039781,-0.3143542743189871,0.016925712789026846,cdnv_score
bias_collapse,0.3604440065044027,0.009990547926228525,0.14663658122651155,bias_collapse
equiangular_uc,0.3205134204639723,0.23025168116121483,0.0031848213606396323,equiangular_uc
equiangular_wc,0.16927590096213946,0.36129239135824065,-0.44038997983402717,equiangular_wc
equinorm_uc,0.36485434754673757,0.11116183422995646,0.005060100481080206,equinorm_uc
equinorm_wc,0.3130317651655303,0.01288747941975302,0.44395402496939246,equinorm_wc
max_equiangular_uc,0.28073412459926395,0.2952647851779965,-0.06599107274326446,max_equiangular_uc
max_equiangular_wc,0.15887689457978738,0.3601254852917451,-0.4525808778919168,max_equiangular_wc
self_duality,0.2819633673284907,0.2137038797211828,0.4829238090829513,self_duality
w_etf_diff,0.26673098857256455,-0.3035918681947094,-0.27842949770338116,w_etf_diff
M_etf_diff,0.288416494928121,-0.2956143428729819,-0.10121948224905641,M_etf_diff
wM_etf_diff,0.2871838746852505,-0.29211428430522707,-0.16598031316923306,wM_etf_diff
variance_explained,0.5343680756841445,0.3562182744309899,0.07164080186808369,
cumulative_variance,0.5343680756841445,0.8905863501151343,0.962227151983218,
