,PC1,PC2,PC3,feature
var_collapse,0.267675144525158,-0.06708443200483556,0.5539814851036986,var_collapse
cdnv_score,0.31317691786492885,-0.06994788085143815,0.32833395209081995,cdnv_score
bias_collapse,0.2680633808816685,-0.3584273725510995,0.12841863307292464,bias_collapse
equiangular_uc,0.21004845597662772,0.47494750973683925,0.025897360922456588,equiangular_uc
equiangular_wc,-0.2752646964414222,-0.27661774823474067,0.1975323890028493,equiangular_wc
equinorm_uc,0.2990450429074299,0.08902885098448005,0.38460138071837086,equinorm_uc
equinorm_wc,-0.2831310360195017,-0.019150765725470836,0.23395398533843453,equinorm_wc
max_equiangular_uc,0.19124271312625477,0.4988802074501048,0.06781321869950503,max_equiangular_uc
max_equiangular_wc,-0.28977812474797343,0.08634763609989685,0.44386054086465954,max_equiangular_wc
self_duality,0.30965685952433897,0.22728018719226695,-0.100742962896745,self_duality
w_etf_diff,0.25404731680803044,-0.40604156583538253,0.027839272813978147,w_etf_diff
M_etf_diff,0.31700425113087727,-0.10144481627450602,-0.26861633531840273,M_etf_diff
wM_etf_diff,0.29574632503377785,-0.26191014623961467,-0.2043963301561468,wM_etf_diff
variance_explained,0.6737866818022517,0.20043097553328823,0.0882147399986651,
cumulative_variance,0.6737866818022517,0.8742176573355399,0.962432397334205,
