feature_set,n_features,kfold_accuracy,kfold_balanced_accuracy,baseline
PCA-2,2,0.6666666666666666,0.8,0.3333333333333333
PCA-3,3,0.7777777777777778,0.7666666666666667,0.3333333333333333
"Top-2 RF (equinorm_wc, max_equiangular_wc)",2,0.5555555555555556,0.4833333333333333,0.3333333333333333
"Top-3 RF (equinorm_wc, max_equiangular_wc, wM_etf_diff)",3,0.7777777777777778,0.6666666666666667,0.3333333333333333
All 13 (tree),13,0.7222222222222222,0.6333333333333333,0.3333333333333333
All 13 (RF),13,0.7222222222222222,0.5666666666666667,0.3333333333333333
