feature_set,n_features,kfold_accuracy,kfold_balanced_accuracy,baseline
PCA-2,2,0.6842105263157895,0.6666666666666666,0.47368421052631576
PCA-3,3,0.6842105263157895,0.6666666666666666,0.47368421052631576
"Top-2 RF (equinorm_uc, equiangular_wc)",2,0.7894736842105263,0.8,0.47368421052631576
"Top-3 RF (equinorm_uc, equiangular_wc, equinorm_wc)",3,0.7894736842105263,0.8,0.47368421052631576
All 13 (tree),13,0.7368421052631579,0.75,0.47368421052631576
All 13 (RF),13,0.6842105263157895,0.6666666666666666,0.47368421052631576
