,PC1,PC2,PC3,feature
var_collapse,-0.2679243535738702,0.3164199474267161,-0.17979029450095044,var_collapse
cdnv_score,0.33237471371223115,-0.11726412998378621,0.009980028495776415,cdnv_score
bias_collapse,0.3276865663501837,0.09976131373114513,0.1999304012038372,bias_collapse
equiangular_uc,0.1948612976885386,0.39001166189308545,-0.41193546215626775,equiangular_uc
equiangular_wc,-0.32031239192618405,0.17795831713958854,0.004867903452394161,equiangular_wc
equinorm_uc,0.27409910388468867,0.2989672457800228,0.14032092169704682,equinorm_uc
equinorm_wc,0.20898706489284535,0.2793499389909977,0.6369044856024038,equinorm_wc
max_equiangular_uc,0.11768520877305895,0.45058623806791087,-0.4516899735946793,max_equiangular_uc
max_equiangular_wc,-0.32480224070845887,0.11918800407560762,0.20362588805386925,max_equiangular_wc
self_duality,0.12501096230623848,0.48853451840602236,0.21259311364593317,self_duality
w_etf_diff,0.315134964178571,-0.1918589041707055,-0.136051361689919,w_etf_diff
M_etf_diff,0.33107183219111774,-0.11419483274136295,-0.10792873979721372,M_etf_diff
wM_etf_diff,0.3272546264470116,-0.13866919844216402,-0.10821333098748916,wM_etf_diff
variance_explained,0.6626795439803768,0.2655590779067604,0.06618008754239768,
cumulative_variance,0.6626795439803768,0.9282386218871372,0.9944187094295349,
