feature_set,n_features,kfold_accuracy,kfold_balanced_accuracy,baseline
PCA-2,2,0.9444444444444444,0.9642857142857143,0.7777777777777778
PCA-3,3,0.8888888888888888,0.8392857142857143,0.7777777777777778
"Top-2 RF (bias_collapse, equinorm_uc)",2,0.9444444444444444,0.9642857142857143,0.7777777777777778
"Top-3 RF (bias_collapse, equinorm_uc, equinorm_wc)",3,0.8888888888888888,0.8392857142857143,0.7777777777777778
All 13 (tree),13,0.8888888888888888,0.8392857142857143,0.7777777777777778
All 13 (RF),13,0.8888888888888888,0.8392857142857143,0.7777777777777778
