backbone,base,variant,mean_diff,median_diff,n_better,n_worse,n_total,p_value
Conv,PCA RecError global,PCA RecError class pred,38.64286115615323,44.91178521096289,32,0,32,4.656612873077393e-10
Conv,Maha,Maha global,24.13885539351253,16.594171654275584,50,14,64,2.4416961967378416e-08
Conv,pNML,pNML class pred,6.730371809629759,5.11692469355755,40,8,48,1.9615893691593556e-05
Conv,GradNorm,GradNorm class pred,1.1299299825607874,0.2812064245817538,67,21,88,8.072094194841637e-09
Conv,CTMmean,CTMmean class avg,0.44354018093047964,0.4080133604804388,49,31,80,0.005818019585192073
Conv,CTM,CTM global,0.3428219313289053,0.20505838704340817,70,18,88,2.2656668990163367e-07
Conv,fDBD,fDBD global,0.20493926558726386,0.1886888835952618,67,29,96,0.0010323049213487644
Conv,NNGuide,NNGuide global,0.16174425207107954,0.10778389836146118,63,33,96,0.00019068235794789972
Conv,REN,REN global,0.15713830521869712,0.044195663611532154,52,36,88,0.028025318911986546
Conv,PCE,PCE class,0.10377834216299998,0.04064809079461895,51,37,88,0.04358970067814871
Conv,MSR,MSR global,0.0742325952471526,0.043092127626465526,63,33,96,1.9067143834984995e-05
Conv,GEN,GEN global,0.07232933723823691,0.07861490608527788,68,28,96,1.3929117436396909e-05
Conv,PE,PE global,0.06387492627344474,0.028811636373291094,59,29,88,0.00042469180759102367
Conv,GE,GE global,0.05060836258326917,0.029284207750109204,65,31,96,0.00028887612378480237
ViT,PCA RecError global,PCA RecError class pred,11.605709313948942,3.073436965318521,26,6,32,0.00016188295558094978
ViT,GradNorm,GradNorm class pred,5.905767200084294,5.679230813564345,25,7,32,4.596542567014694e-06
ViT,REN,REN class pred,4.740065404129442,2.0989429463006957,24,8,32,0.0014367210678756237
ViT,MLS,MLS global,0.6528782969670841,0.3541939815300239,27,5,32,3.54335643351078e-05
ViT,GE,GE global,0.6351661690702652,0.3381200201487431,23,9,32,0.0001777801662683487
ViT,Energy,Energy global,0.6325151032281493,0.4554055802522754,28,4,32,6.0301274061203e-05
ViT,PE,PE global,0.554889652968003,0.31208267533284584,23,9,32,0.0003979005850851536
ViT,MSR,MSR global,0.547967062944601,0.3285307210673025,22,10,32,0.000837184488773346
ViT,PCE,PCE global,0.5360397654605209,0.313607096643608,21,11,32,0.0015479698777198792
ViT,GEN,GEN global,0.4993848681744315,0.2824967588673104,27,5,32,0.0001777801662683487
