dataset,architecture,study,dropout,run,reward,lr,model_opts,temperature,raw_entropy_mean,raw_entropy_std,raw_entropy_p50,raw_maxprob_mean,raw_maxprob_std,raw_maxprob_p50,raw_margin_mean,raw_margin_std,raw_margin_p50,raw_logitnorm_mean,raw_logitnorm_std,raw_logitnorm_p50,raw_kl_uniform_mean,raw_kl_uniform_std,raw_kl_uniform_p50,raw_top23margin_mean,raw_top23margin_std,raw_top23margin_p50,raw_top34margin_mean,raw_top34margin_std,raw_top34margin_p50,scaled_entropy_mean,scaled_entropy_std,scaled_entropy_p50,scaled_maxprob_mean,scaled_maxprob_std,scaled_maxprob_p50,scaled_margin_mean,scaled_margin_std,scaled_margin_p50,scaled_logitnorm_mean,scaled_logitnorm_std,scaled_logitnorm_p50,scaled_kl_uniform_mean,scaled_kl_uniform_std,scaled_kl_uniform_p50,scaled_top23margin_mean,scaled_top23margin_std,scaled_top23margin_p50,scaled_top34margin_mean,scaled_top34margin_std,scaled_top34margin_p50,logit_classmean_cv_norm,logit_classmean_cos_mse,logit_classmean_cos_max_dev,logit_classmean_cos_mean,logit_within_between_ratio,logit_classmean_mean_norm,n_classes_seen,logit_cov_participation,logit_cov_effrank
cifar10,ViT,vit,False,0,0.0,0.0003,_RW0_RF0_ASHNone,1.5546536445617676,0.020592952060328084,0.1110225099141342,4.490585832676759e-05,0.9921912523553506,0.04891164625052924,0.999997032218301,12.678177311163768,3.3325456683607366,13.489124774932861,16.24211953756295,1.7002330451424224,16.36214228794751,2.2819921409337174,0.1110225099141342,2.3025401832183827,1.3349702346936987,1.579069444276641,0.8136335946619511,0.6843477854702854,0.6997915183204662,0.48125243186950684,0.04495278973381852,0.16013602649186542,0.005111018891552301,0.9860355266624599,0.06432886978902257,0.9995057629934462,8.154985104328563,2.1435936428331455,8.676610946655273,10.44741997460481,1.093641050832813,10.524622283464627,2.2576323032602277,0.16013602649186542,2.2974740576901707,0.8586930208998117,1.0157049767405488,0.5233536064624786,0.4401930861143473,0.450126959219826,0.3095560669898987,0.05900173238869663,0.022794757143462973,0.3482410083545619,-0.11071678759113743,0.11164375372215636,15.310111580771657,10.0,7.643181610080348,8.391165658594558
cifar10,ViT,vit,False,1,0.0,0.0003,_RW0_RF0_ASHNone,1.941785454750061,0.026013699061184642,0.12921571703910678,4.490557765644903e-05,0.9902117793769858,0.05597252861608115,0.999997043311872,12.571425969089638,3.521472135864352,13.539119988679886,16.07432771470682,1.7379780912036389,16.225010170802285,2.2765713939328616,0.12921571703910678,2.302540180606546,1.338554391305193,1.5941939502073905,0.789656400680542,0.6801911516906717,0.7050754910528428,0.4726772904396057,0.09732219429261237,0.22667218239986456,0.028098375328109302,0.9742056510530858,0.08485612549419423,0.9967398714849628,6.474158067484284,1.8135227691831863,6.972510665655136,8.278117272545916,0.8950412560266459,8.355717145469523,2.2052628987014335,0.22667218239986456,2.274486263288777,0.6893420628144342,0.8209938668565135,0.4066650867462158,0.35029160924685887,0.3631067940082339,0.24342405796051025,0.051909332604377294,0.024711214169095483,0.33341358092856244,-0.11081337176311984,0.13000453487391114,15.129609239561066,10.0,7.564480134427732,8.348964192972417
cifar10,ViT,vit,False,2,0.0,0.0003,_RW0_RF0_ASHNone,1.8838765621185303,0.03524551409985017,0.1502473067744076,4.8883220111567454e-05,0.9869124877345651,0.06403988494487517,0.9999967138674195,12.171771725163318,3.8607901004190777,13.271201848983765,16.515623115533177,2.1230231596064497,16.749036225541456,2.267339578894196,0.15024730677440762,2.302536198463045,1.4637841797271347,1.5846125273716811,0.9636493027210236,0.8305028430619626,0.8136500985555357,0.5978893935680389,0.1114886173065897,0.25926036545084014,0.022457366256920262,0.9684600021285661,0.09656097581349644,0.9974358517523222,6.4610240238070045,2.04938591984857,7.044623970985413,8.766828701965133,1.1269438777289311,8.890729235239409,2.191096475687456,0.2592603654508401,2.2801222104349654,0.777006418033464,0.8411445630097028,0.5115246623754501,0.4408478026728847,0.43190202324924876,0.3173718601465225,0.054907507777640654,0.041000612605074184,0.42111571215002014,-0.11071080825941881,0.1550474030625168,15.374305560523846,10.0,6.976827920509612,7.993895826934848
cifar10,ViT,vit,False,3,0.0,0.0003,_RW0_RF0_ASHNone,1.8824008703231812,0.027427182681149898,0.13045324064352493,3.675008901420007e-05,0.9897076674054456,0.0561898615938321,0.9999976074445966,12.677757795225697,3.6647559645742946,13.685184240341187,16.26359147940219,1.8457040591949219,16.45005979961578,2.2751579103128963,0.13045324064352493,2.3025483366513426,1.3725348397376598,1.5626345189171011,0.868335947394371,0.7530869043251779,0.7530030723644986,0.5327303111553192,0.09055874304189648,0.22576981209791147,0.02034517624146469,0.9748880784434941,0.0849574256148582,0.9977256162566118,6.7348873418514,1.9468520337065025,7.270069062709808,8.639812982920306,0.9805053140997287,8.73887200561431,2.2120263499521493,0.22576981209791144,2.2822397596800434,0.7291405679785629,0.8301284514107503,0.4612917226040736,0.4000672314820588,0.4000226964201206,0.2830057740211487,0.031124427718068823,0.021911333652671092,0.3067929203195804,-0.11098986417474478,0.13420857878231876,15.278729211962347,10.0,7.802192940333535,8.46878058414156
cifar10,ViT,vit,False,4,0.0,0.0003,_RW0_RF0_ASHNone,1.9579190015792847,0.030082344069803698,0.13767706922207673,4.360009813867855e-05,0.9887086066340068,0.05919214985413641,0.9999971288506194,12.431715801037866,3.6594303826530803,13.540730714797974,15.986687529468565,1.7440535699354487,16.295395882950846,2.2725027489242424,0.13767706922207673,2.3025414820687695,1.3117841982280254,1.5527786598460103,0.7859828621149063,0.6916363091069192,0.7366082716758104,0.4753100425004959,0.11000519536141105,0.24567042327343916,0.02927159944242343,0.970377243702915,0.09151083996687841,0.9965903746872186,6.34945357346399,1.8690407410381833,6.915878772735596,8.165142437923521,0.8907690093621178,8.322814118110475,2.192579897632635,0.24567042327343916,2.273311723308272,0.6699890022644583,0.7930760454758976,0.4014378786087036,0.35325072616458614,0.3762199920905091,0.24276288598775864,0.04448559295369457,0.025818728844334872,0.39115844087848944,-0.11088697323671154,0.13908152031349755,14.948582803955825,10.0,7.5855390588456135,8.33404854388222
supercifar,ViT,vit,False,0,0.0,0.003,_RW0_RF0_ASHNone,2.4777965545654297,0.036255701277962196,0.15076336382221603,2.4991861540197594e-05,0.9864117283317491,0.06514910481975257,0.9999983939127921,12.92604501823233,4.511945713261274,13.932538032531738,22.315225497998807,2.6433951529106996,22.252288146377694,2.9081832778884777,0.15076336382221603,2.944413980955322,1.839303720305637,1.8893108488521482,1.232006549835205,0.9693177109717906,0.9920597304303601,0.6597812175750732,0.24553785272988587,0.3698461070678387,0.10674122212889935,0.9424410817541486,0.12153370277693083,0.9859461518836857,5.216749936386036,1.820950837584227,5.622954845428467,9.006076571236738,1.0668330087464903,8.980675987901535,2.6989011264365543,0.3698461070678388,2.8376925379235414,0.7423142620477654,0.7624963582124313,0.49721860885620117,0.39120149269451365,0.400379816919553,0.2662774324417114,0.08504923117709975,0.043024953216838316,0.5324827085375212,-0.0548628017843946,0.2484784785022469,19.840518508378313,19.0,10.791876461214656,13.625355189956405
supercifar,ViT,vit,False,1,0.0,0.003,_RW0_RF0_ASHNone,2.3125216960906982,0.032162745225586785,0.1409692112824767,2.1927293752357774e-05,0.9877545577433117,0.061720265761674935,0.9999986141590383,13.154735222051704,4.37024852259901,14.154006958007812,22.272106894740453,2.822348833165046,22.058812225684026,2.9122762339408537,0.1409692112824767,2.944417048451014,1.8341316523283082,1.9361195814454368,1.2102646827697754,0.9912291010238573,1.048061073416026,0.6577358245849609,0.1828953153526306,0.31801486096891934,0.07057320857677381,0.9557787978339755,0.10798548079148232,0.991241400118105,5.688480778558057,1.889819467551089,6.120594501495361,9.631090998758179,1.2204637195536576,9.538856759605155,2.76154366381381,0.31801486096891934,2.87386382619968,0.7931305706120539,0.8372330451256115,0.5233528017997742,0.4286355895698947,0.4532113478121783,0.2844236493110657,0.10002128691173814,0.039495202561916895,0.5243170689451887,-0.0546431065544307,0.2350664824942896,19.861068984819884,19.0,10.830065620917182,13.68455302879158
supercifar,ViT,vit,False,2,0.0,0.003,_RW0_RF0_ASHNone,2.358855962753296,0.03790483854124776,0.1558172880065372,2.7320209936834477e-05,0.9858024568697128,0.06676066714041537,0.9999982320651818,12.70744416862295,4.429964639970185,13.808656215667725,22.348557301681666,2.5032290509001953,22.440446708930796,2.9065341406251926,0.1558172880065372,2.9444116529475535,1.8680771809285017,1.8897252774525426,1.2585511207580566,0.998271105437564,0.9780719481043655,0.7073972225189209,0.2158683944603202,0.3554747528440519,0.08117180931561664,0.947384948923893,0.11895973536732928,0.9896379809258105,5.38712170908953,1.8780140504314486,5.853963375091553,9.4743204561217,1.0612047065014714,9.51327532506038,2.7285705847061203,0.3554747528440519,2.8632555673093827,0.791942030838513,0.8011194025409473,0.5335431098937988,0.42320138302588345,0.41463826684772653,0.2998899221420288,0.06862231890109154,0.048043990830033516,0.5223241325934214,-0.05516565767047364,0.2354058164603319,19.955884438232104,19.0,10.480784706603346,13.349995903154788
supercifar,ViT,vit,False,3,0.0,0.003,_RW0_RF0_ASHNone,2.3214218616485596,0.033927099649185444,0.14385067703585994,2.1590747445496465e-05,0.9872919468375152,0.06227734883965233,0.999998638863032,13.096091958054538,4.452161085196885,14.159412145614624,21.941372487504072,2.5871074303929595,21.793327888436174,2.910511879517255,0.14385067703585994,2.9444173759837233,1.7839736659750833,1.9120052171688393,1.1420637369155884,0.903629686150565,0.956260332703832,0.6066521406173706,0.19353422409426735,0.331613401307508,0.07249125895116763,0.9531866907693456,0.11149381106695415,0.9909854983275799,5.641409765959558,1.9178595512344978,6.099456787109375,9.451695468490218,1.1144494998059242,9.387922375390243,2.750904755072173,0.331613401307508,2.8719470656092465,0.7684831852647966,0.8236353972268914,0.4919673204421997,0.3892569896860931,0.4119287187920802,0.261327862739563,0.08060308642286991,0.037480961297402214,0.5455226348674723,-0.05512200624646834,0.24599022373583884,19.592981685686755,19.0,11.188946089422332,13.817505564823033
supercifar,ViT,vit,False,4,0.0,0.003,_RW0_RF0_ASHNone,2.3238203525543213,0.03318261503626017,0.14354518687804127,2.110499440582293e-05,0.9876331650466336,0.061408154775259384,0.9999986701401767,13.175039567142528,4.400873704373449,14.216914653778076,21.660147539258396,2.6097422966934727,21.498352804283595,2.91125636413018,0.1435451868780413,2.944417872720807,1.780153818503439,1.8792062772467848,1.161267638206482,0.9551538510404368,1.0225657050658246,0.6329350471496582,0.1905095464455467,0.3294886774546368,0.07325483582077474,0.9542161723076623,0.11063607400962178,0.9909069442470397,5.6695602806273255,1.8938097764231085,6.117906212806702,9.320921695634766,1.123039607616029,9.251297153975658,2.753929432720893,0.3294886774546368,2.8711831060310833,0.7660462295738858,0.8086710641876762,0.49972349405288696,0.41102740535889537,0.4400364697148048,0.27236831188201904,0.07824997185422047,0.0353486945865922,0.5143410766057954,-0.05503267902672957,0.2453306331391482,19.389322869104042,19.0,11.40147701437881,14.171585274033365
