,dataset,architecture,study,dropout,run,reward,lr,temperature,raw_entropy_mean,raw_entropy_std,raw_entropy_p50,raw_maxprob_mean,raw_maxprob_std,raw_maxprob_p50,raw_margin_mean,raw_margin_std,raw_margin_p50,raw_logitnorm_mean,raw_logitnorm_std,raw_logitnorm_p50,raw_kl_uniform_mean,raw_kl_uniform_std,raw_kl_uniform_p50,raw_top23margin_mean,raw_top23margin_std,raw_top23margin_p50,raw_top34margin_mean,raw_top34margin_std,raw_top34margin_p50,scaled_entropy_mean,scaled_entropy_std,scaled_entropy_p50,scaled_maxprob_mean,scaled_maxprob_std,scaled_maxprob_p50,scaled_margin_mean,scaled_margin_std,scaled_margin_p50,scaled_logitnorm_mean,scaled_logitnorm_std,scaled_logitnorm_p50,scaled_kl_uniform_mean,scaled_kl_uniform_std,scaled_kl_uniform_p50,scaled_top23margin_mean,scaled_top23margin_std,scaled_top23margin_p50,scaled_top34margin_mean,scaled_top34margin_std,scaled_top34margin_p50,logit_classmean_cv_norm,logit_classmean_cos_mse,logit_classmean_cos_max_dev,logit_classmean_cos_mean,logit_within_between_ratio,logit_classmean_mean_norm,n_classes_seen,logit_cov_participation,logit_cov_effrank
0,cifar10,VGG13,devries,False,1,2.2,0.0,1.3716586828231812,0.049395753287844485,0.16704005952062503,0.00557387456607589,0.9855409667008197,0.06450816436590374,0.9994626058409504,8.175266091686414,2.291122795176474,8.680975422263145,9.907111761372517,1.2612082060842396,9.933082685967436,2.2531893397062017,0.16704005952062503,2.2970111724753393,0.8576420016902627,0.9243504208301184,0.5461897179484367,0.4573605813510646,0.4763773372232728,0.30871284008026123,0.12969426686754779,0.23221695389167102,0.05501785700506658,0.9702327770854873,0.08210247009329476,0.9930821907566004,5.960131478280637,1.670330106900862,6.328815780580044,7.222723762302866,0.9194767054400718,7.241657830196054,2.172890826126498,0.232216953891671,2.2475653215998905,0.6252590476274184,0.6738924429697994,0.3981965109705925,0.33343614343926,0.34730020160079517,0.22506538033485413,0.027659111171074266,0.021736577578211992,0.3759061848037229,-0.1109648307417967,0.08578872044548423,9.56457885642395,10.0,7.739285253257373,8.378664633284465
1,cifar10,VGG13,devries,False,2,2.2,0.0,1.4064280986785889,0.05182342645561932,0.1706481086673395,0.005953678552371894,0.9849543613244758,0.06525545240240464,0.999421995543643,8.06825534628139,2.284056383092661,8.60859364271164,9.841055524507034,1.2660367113000544,9.87185121245138,2.2507616665384265,0.1706481086673395,2.2966313868060855,0.8752942521287967,0.9425554234730563,0.5572502315044403,0.4609781543524166,0.48264856343011686,0.30960768461227417,0.14739382363119813,0.24426950144962853,0.06692668008706637,0.9666415069165905,0.0852267087565941,0.9913520391347493,5.736699482740122,1.624012196196241,6.1208913922309875,6.99719774790765,0.9001787675923238,7.0190941792520665,2.155191269362848,0.24426950144962856,2.2356579955435483,0.6223526485767689,0.6701767579259188,0.39621664583683014,0.327765176661921,0.34317329396944735,0.2201375812292099,0.034921458452004124,0.023414713019759045,0.39015830794507556,-0.11087480751000443,0.08666298511381015,9.492547001584871,10.0,7.6286728894856335,8.337738810518436
2,cifar10,VGG13,devries,False,3,2.2,0.0,1.28355872631073,0.04963426752137069,0.16664268132441468,0.005707094386203548,0.9855368369454017,0.06385791482509222,0.9994462250458848,8.09616100052572,2.253187255560188,8.618651628494263,9.90502518338153,1.2637409484882802,9.941713193027592,2.2529508254726753,0.16664268132441468,2.2968777986301774,0.9163988023344567,0.96276863775327,0.6002098061144352,0.4824107073739893,0.49099607088607966,0.3318314552307129,0.10450275679174566,0.21670920693861365,0.036734565912886666,0.9749491262732726,0.07751733435643958,0.9956094556957311,6.307589077742456,1.7554220219541425,6.714653104543686,7.716846126376297,0.9845602881904174,7.745429376948825,2.1980823362023005,0.21670920693861367,2.2658504542667295,0.7139515967749988,0.7500775913441357,0.4676138162612915,0.3758384383134833,0.38252715713590024,0.2585245668888092,0.03702134192585157,0.02483244456715703,0.40406507797960056,-0.11079998428704804,0.08398718050918175,9.573037647359175,10.0,7.540171068682244,8.297425035948013
3,cifar10,VGG13,devries,False,4,2.2,0.0,1.403930902481079,0.04801897878278167,0.16396797999905816,0.005240028367159559,0.9860728709758986,0.06260680394462308,0.9994982947385311,8.21169368626914,2.2798771575273533,8.727678179740906,9.972599933834955,1.2543414022435149,10.007234012831047,2.254566114211264,0.16396797999905818,2.297344724805267,0.8709433302499354,0.9370443474132446,0.5559459030628204,0.47300664671660403,0.48232676543212527,0.32244229316711426,0.1367515980760473,0.2353607865154076,0.0607347802896172,0.9691370693030235,0.08200320614171472,0.9922689328480583,5.849072538790356,1.6239240506682762,6.216601014137268,7.10334099613268,0.8934495282030084,7.128010471396173,2.1658334949179987,0.23536078651540762,2.241848272895463,0.620360538005958,0.667443351629486,0.39599237591028214,0.3369159023300414,0.3435544903476197,0.22967106103897095,0.03306335096845864,0.02384950319912806,0.4136417659337072,-0.11087795756702405,0.08208752650275114,9.639249050287237,10.0,7.58069961283134,8.315342895062777
4,cifar10,VGG13,devries,False,5,2.2,0.0,1.3991360664367676,0.05054372042287193,0.16814240943947198,0.005735712482572311,0.9853392474880611,0.06432974880714214,0.9994459905355181,8.148323619603293,2.2888264469978856,8.662638008594513,9.854372834423858,1.277013170957795,9.88750557680416,2.252041372571174,0.16814240943947198,2.2968472881519304,0.8338167172159775,0.9008744589590932,0.5288561023771763,0.4611571261636767,0.47744428006952455,0.3134046196937561,0.14211910694818744,0.24118691163558323,0.06349904487761662,0.9678475750471116,0.08393056266397321,0.9918823881893298,5.823825012083456,1.6358855308907303,6.191419467329979,7.043184054861923,0.9127154974398604,7.066865125141207,2.160465986045858,0.2411869116355832,2.2390860417661695,0.5959511280474343,0.6438790910965553,0.3779876232147217,0.32960134275595604,0.3412422076325426,0.22399866580963135,0.03315793045095907,0.02273000090749886,0.3725627946166918,-0.11091145192193635,0.08528054251862228,9.519761920705943,10.0,7.663242807076896,8.353936261289649
5,cifar10,VGG13,devries,True,1,2.2,0.0,1.3783838748931885,0.10302200735178531,0.27210602300016584,0.0015496636705999156,0.9659495099136067,0.10448601825948371,0.9998628665264817,8.898118443046622,3.8832334069750454,9.637185335159302,11.956314332676396,2.7356996900126274,12.162954549807331,2.1995630856422608,0.27210602300016584,2.301035277875205,1.1477583607833182,1.0814932787807519,0.8320184648036957,0.6844242376147677,0.588929422512044,0.5148737728595734,0.1855355118482565,0.36748115580743024,0.021171059126178653,0.9456918087119823,0.13070780166295015,0.9975682858342463,6.455471951433442,2.8172365313259196,6.99165540933609,8.674154239952678,1.9847153904398744,8.824069253260351,2.1170495811457894,0.3674811558074302,2.281409327740824,0.8326841179720088,0.7846096423186347,0.6036188453435898,0.4965410943680948,0.4272608184209936,0.3735343664884567,0.10146200059932471,0.06761632748571082,0.6259714234818341,-0.1085062474832684,0.11663993116967578,11.517030635820685,10.0,5.904499607153115,7.2971963569958325
6,cifar10,VGG13,devries,True,2,2.2,0.0,1.4875211715698242,0.103443372715642,0.2684994226745622,0.0015447455212469696,0.96606001950001,0.10308301616488359,0.9998638019736665,8.947756315153427,4.016313742249884,9.635966300964355,11.919724232443826,2.78126111078344,12.08261481859718,2.199141720278404,0.26849942267456217,2.301040207210714,1.1634755496394449,1.0893842961089795,0.8502193689346313,0.5968074321648479,0.5241965267650124,0.45591234415769577,0.21965459682887864,0.3913824180776065,0.03529642589530071,0.9378351078119546,0.13679671906810545,0.9957061357474837,6.015212748730462,2.7000044219061983,6.47786808013916,8.013145937396336,1.8697287556763023,8.1226504758867,2.0829304961651673,0.3913824180776065,2.2672875707214075,0.7821573044665308,0.7323487671441739,0.5715678930282593,0.40120936998028495,0.35239601070578763,0.30649134516716003,0.10728060108586004,0.06102706815633547,0.6398902346869271,-0.10852158687183228,0.120429187703059,11.456834712713164,10.0,6.125751208707185,7.4288377588270365
7,cifar10,VGG13,devries,True,3,2.2,0.0,1.4308947324752808,0.10380247772241724,0.27247220414629336,0.0013494817714499634,0.9656030289984759,0.10481533546977653,0.9998814288352422,9.116337571294345,4.147830556817105,9.73791778087616,12.211615049469376,2.9976364175762025,12.336792321630794,2.1987826152716288,0.2724722041462933,2.301235328187263,1.198227805250734,1.069626186897523,0.9247796684503555,0.6599263011076302,0.5757614280258186,0.4959390163421631,0.1999823453120902,0.38087115279176964,0.024651444715039078,0.9419483718303853,0.13461486102743345,0.9971159540471143,6.371074939666729,2.8987670870483506,6.805474281311035,8.53425117334978,2.0949384662715667,8.621732836228324,2.102602747681956,0.38087115279176964,2.277933068232993,0.8373975933045219,0.7475226252852668,0.646294679492712,0.4611983580645213,0.4023786065291473,0.3465936481952667,0.11354265901922514,0.06570017623099923,0.6674984542468168,-0.10811414494547174,0.11971499299233127,11.769871646320643,10.0,5.982045231556616,7.34482730661713
8,cifar10,VGG13,devries,True,4,2.2,0.0,1.3667725324630737,0.1059038638638669,0.27635234462239955,0.0015959156954027808,0.9652497285312135,0.10533067817646703,0.9998581024874343,8.917536672826868,3.994763564168428,9.576495051383972,11.941838306304208,2.827656476667442,12.101979527558896,2.1966812291301787,0.27635234462239955,2.3009890444432575,1.1234844360680716,1.075761920943096,0.8073204755783081,0.6747371528416221,0.5683384933176691,0.5238189995288849,0.18750930110464106,0.3698740012551159,0.020375211420263106,0.9451210009198083,0.1312538506823568,0.9976792510504188,6.524521427267115,2.9227713232130625,7.006648659706116,8.737253656447956,2.0688566746198744,8.854421014798312,2.1150757918894048,0.3698740012551159,2.2822067586561845,0.8219981078606347,0.7870818992011117,0.5906765460968018,0.49367187070994667,0.4158252231979578,0.38325252069626004,0.1017565822981327,0.0631824814274078,0.620364838657169,-0.10845311425586111,0.12100272494905007,11.49548157081504,10.0,6.100211834383628,7.394104129771582
9,cifar10,VGG13,devries,True,5,2.2,0.0,1.4971174001693726,0.10509607588215568,0.27264473207884193,0.0015601741842802724,0.9655097754348305,0.10415896717291208,0.9998617073982274,8.96359395584438,4.045723988451267,9.61096704006195,12.00763940413202,2.928444742944278,12.125546189060163,2.19748901711189,0.27264473207884193,2.3010245519985024,1.1816150880621745,1.0805574091792476,0.8833969831466675,0.6425320756561682,0.5675534487335911,0.4724198579788208,0.22458203532153936,0.39880423777122664,0.03681447030076407,0.9364687187911389,0.13893226711353177,0.9955092763250383,5.987235173912383,2.702342508301513,6.419647932052612,8.020506210428374,1.956055512966635,8.09926216608813,2.0780030576725066,0.3988042377712266,2.26576982881163,0.7892601394566385,0.7217586339328045,0.5900652408599854,0.42917948546487467,0.37909748985222413,0.3155529871582985,0.11435526297059738,0.06373650514134017,0.6259175235078125,-0.10844452156671909,0.12137476220848252,11.558877811203118,10.0,5.981143744456835,7.331274332403435
