method,cliques_base,cliques_best_swap,cliques_all,gain_swap_vs_base
GradNorm,1,4,1,3
PCA RecError global,1,3,3,2
MSR,3,4,1,1
PCE,0,1,0,1
CTMmean,2,2,2,0
CTMmean class,0,0,1,0
CTMmean class avg,0,0,2,0
CTMmean class pred,0,0,1,0
GEN class pred,0,0,2,0
GE class pred,0,0,1,0
GE global,0,0,2,0
GEN,4,4,3,0
CTMmean global,0,0,2,0
Energy class,0,0,1,0
Energy global,0,0,1,0
fDBD class avg,0,0,1,0
Residual,4,4,4,0
PE global,0,0,2,0
GEN class avg,0,0,1,0
GEN global,0,0,4,0
KPCA RecError class pred,0,0,3,0
KPCA RecError global,3,3,3,0
GradNorm global,0,0,1,0
GradNorm class pred,0,0,5,0
MSR global,0,0,4,0
MLS class,0,0,1,0
MLS global,0,0,2,0
MLS class pred,0,0,1,0
MSR class pred,0,0,1,0
NNGuide global,0,0,1,0
Maha class avg,0,0,4,0
KPCA RecError class,0,0,4,0
ViM,5,5,7,0
pNML class pred,0,0,1,0
REN global,0,0,3,0
PCA RecError class,0,0,4,0
PCE class pred,0,0,1,0
PCA RecError class pred,0,0,4,0
PCE global,0,0,4,0
PE class pred,0,0,1,0
GE,2,1,1,-1
CTMmeanOC,3,2,2,-1
Maha,1,0,4,-1
MLS,1,0,0,-1
NeCo,1,0,1,-1
NNGuide,2,1,1,-1
pNML,5,4,5,-1
PE,1,0,0,-1
