source_dataset,model_1,model_2,spearman_rho,spearman_p,kendall_tau,kendall_p,n_ood_sets
cifar10,ViT-B-32,ViT-B-16,0.9523809523809524,0.00026040002438725105,0.8571428571428571,0.001736111111111111,8
cifar10,ViT-B-32,ViT-L-14,0.880952380952381,0.0038503204637324014,0.7857142857142856,0.005505952380952381,8
cifar10,ViT-B-16,ViT-L-14,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,8
cifar100,ViT-B-32,ViT-B-16,0.9523809523809524,0.00026040002438725105,0.8571428571428571,0.001736111111111111,8
cifar100,ViT-B-32,ViT-L-14,0.9047619047619048,0.0020082755054294677,0.7857142857142856,0.005505952380952381,8
cifar100,ViT-B-16,ViT-L-14,0.8571428571428572,0.006530017254715292,0.7857142857142856,0.005505952380952381,8
supercifar100,ViT-B-32,ViT-B-16,1.0,0.0,0.9999999999999998,4.96031746031746e-05,8
supercifar100,ViT-B-32,ViT-L-14,0.8333333333333335,0.01017554012345675,0.7142857142857142,0.014136904761904762,8
supercifar100,ViT-B-16,ViT-L-14,0.8333333333333335,0.01017554012345675,0.7142857142857142,0.014136904761904762,8
tinyimagenet,ViT-B-32,ViT-B-16,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,8
tinyimagenet,ViT-B-32,ViT-L-14,0.9047619047619048,0.0020082755054294677,0.7857142857142856,0.005505952380952381,8
tinyimagenet,ViT-B-16,ViT-L-14,0.8333333333333335,0.01017554012345675,0.7142857142857142,0.014136904761904762,8
