source_dataset,model,ood_set,kid_mean,rank
tinyimagenet,ViT-B-16,lsun_resize,0.0013894023561143688,5.0
tinyimagenet,ViT-B-16,textures,0.0014258472158911316,6.0
tinyimagenet,ViT-B-16,lsun_cropped,0.0014868229978483337,7.0
tinyimagenet,ViT-B-16,svhn,0.0022596309918087878,8.0
tinyimagenet,ViT-L-14,cifar100,0.0003638873829425915,1.0
tinyimagenet,ViT-L-14,cifar10,0.00038683925907412764,2.0
tinyimagenet,ViT-L-14,isun,0.00040679458549425896,3.0
tinyimagenet,ViT-L-14,lsun_resize,0.00042431921136985905,4.0
tinyimagenet,ViT-L-14,places365,0.0005507301637575068,5.0
tinyimagenet,ViT-L-14,lsun_cropped,0.0005722045364227046,6.0
tinyimagenet,ViT-L-14,textures,0.0006993933614095126,7.0
tinyimagenet,ViT-L-14,svhn,0.0011262880250092699,8.0
