source_dataset,model,tau,p_value,n
cifar10,ViT-B-16,0.7155417527999327,0.02636210862347533,8
cifar10,ViT-B-32,0.6885303726590963,0.029384834830766232,8
cifar10,ViT-L-14,0.7979249985750353,0.011298345511121273,8
cifar100,ViT-B-16,0.5916079783099615,0.05829058013948874,8
cifar100,ViT-B-32,0.6761234037828132,0.03046380272268879,8
cifar100,ViT-L-14,0.8399210511316161,0.007660761135179474,8
supercifar100,ViT-B-16,0.5916079783099615,0.05829058013948874,8
supercifar100,ViT-B-32,0.6761234037828132,0.03046380272268879,8
supercifar100,ViT-L-14,0.8660254037844386,0.005410533856084871,8
tinyimagenet,ViT-B-16,0.7791937224739796,0.01380479090755495,8
tinyimagenet,ViT-B-32,0.7468160448149386,0.019681581605892538,8
tinyimagenet,ViT-L-14,0.7468160448149386,0.019681581605892538,8
