source_dataset,model,ood_set,rank_fid,rank_kid_mean,rank_img_centroid_dist_mean,rank_text_alignment_mean,avg_rank,group
supercifar100,ViT-L-14,isun,4.0,4.0,2.0,3.0,3.25,2
supercifar100,ViT-L-14,lsun_resize,5.0,5.0,3.0,8.0,5.25,2
supercifar100,ViT-L-14,textures,6.0,6.0,7.0,7.0,6.5,3
supercifar100,ViT-L-14,svhn,7.0,7.0,5.0,4.0,5.75,3
supercifar100,ViT-L-14,places365,8.0,8.0,8.0,6.0,7.5,3
tinyimagenet,ViT-B-32,cifar100,1.0,1.0,4.0,1.0,1.75,1
tinyimagenet,ViT-B-32,cifar10,2.0,2.0,5.0,2.0,2.75,1
tinyimagenet,ViT-B-32,isun,3.0,3.0,1.0,5.0,3.0,1
tinyimagenet,ViT-B-32,places365,4.0,5.0,8.0,8.0,6.25,2
tinyimagenet,ViT-B-32,lsun_resize,5.0,4.0,2.0,6.0,4.25,1
tinyimagenet,ViT-B-32,textures,6.0,6.0,7.0,7.0,6.5,2
tinyimagenet,ViT-B-32,lsun_cropped,7.0,7.0,3.0,3.0,5.0,1
tinyimagenet,ViT-B-32,svhn,8.0,8.0,6.0,4.0,6.5,3
tinyimagenet,ViT-B-16,cifar100,1.0,1.0,4.0,1.0,1.75,1
tinyimagenet,ViT-B-16,cifar10,2.0,2.0,5.0,3.0,3.0,1
tinyimagenet,ViT-B-16,places365,3.0,4.0,8.0,8.0,5.75,2
tinyimagenet,ViT-B-16,isun,4.0,3.0,1.0,2.0,2.5,1
tinyimagenet,ViT-B-16,lsun_resize,5.0,5.0,3.0,5.0,4.5,1
tinyimagenet,ViT-B-16,textures,6.0,6.0,7.0,7.0,6.5,2
tinyimagenet,ViT-B-16,lsun_cropped,7.0,7.0,2.0,4.0,5.0,1
tinyimagenet,ViT-B-16,svhn,8.0,8.0,6.0,6.0,7.0,3
tinyimagenet,ViT-L-14,cifar100,1.0,1.0,4.0,2.0,2.0,1
tinyimagenet,ViT-L-14,isun,2.0,3.0,1.0,7.0,3.25,1
tinyimagenet,ViT-L-14,cifar10,3.0,2.0,3.0,1.0,2.25,1
tinyimagenet,ViT-L-14,lsun_resize,4.0,4.0,2.0,8.0,4.5,1
tinyimagenet,ViT-L-14,places365,5.0,5.0,8.0,6.0,6.0,2
tinyimagenet,ViT-L-14,lsun_cropped,6.0,6.0,5.0,3.0,5.0,1
tinyimagenet,ViT-L-14,textures,7.0,7.0,7.0,5.0,6.5,2
tinyimagenet,ViT-L-14,svhn,8.0,8.0,6.0,4.0,6.5,3
